query,priceCategory,options,parking
그랑카페,2만원 대,주차,Yes
이디야커피망우역점,,,No
트래버틴용산,1만원 대,,No
디저트39,1만원 대,포장무선 인터넷예약반려동물 동반배달제로페이간편결제,No
사랑방,,,No
로타리휴계실,,,No
삼이일공커피공장,1만원 대,단체 이용 가능포장무선 인터넷반려동물 동반대기공간주차,Yes
토마토,,,No
수빈70,1만원 대,단체 이용 가능포장배달예약무선 인터넷대기공간,No
커피오리진,1만원 대,주차포장단체 이용 가능무선 인터넷,Yes
메가엠지씨커피강동역점,,,No
카페502호,,,No
이앤에스에스,,,No
건강한농부사회적협동조합,,,No
크레마노,1만원 대,반려동물 동반남/녀 화장실 구분무선 인터넷포장간편결제주차,Yes
카페인중독,,포장배달예약무선 인터넷남/녀 화장실 구분주차,Yes
카페보보,1만원 대,,No
금호알베르,,,No
알베르금호,,,No
다나제과,,포장단체 이용 가능예약무선 인터넷제로페이,No
커피베이성수세종,1만원 대,,No
메르센,,,No
카페네이,1만원 대,단체 이용 가능포장배달예약무선 인터넷반려동물 동반제로페이간편결제,No
카페리브레,1만원 대,제로페이무선 인터넷,No
커피빈순화점,1만원 대,,No
커피에반하다,,,No
컴포즈커피,,단체 이용 가능포장배달제로페이간편결제,No
쥬씨,1만원 대,포장배달예약무선 인터넷지역화폐 (카드형)제로페이간편결제,No
빌리지,,포장지역화폐 (모바일형)제로페이간편결제,No
MAAT커피브루어스,1만원 대,포장남/녀 화장실 구분무선 인터넷제로페이간편결제,No
퓨쳐마인드,1만원 대,포장단체 이용 가능무선 인터넷배달간편결제,No
좋은피플,,,No
컴포즈커피가양초점,,,No
효녀가수이효정네한방찻집,,,No
쿠나,,포장무선 인터넷제로페이간편결제,No
OMG도넛앤커피,,,No
카페메디치,,,No
스탠다드,1만원 대,포장무선 인터넷남/녀 화장실 구분간편결제,No
써밋,,남/녀 화장실 구분무선 인터넷제로페이,No
엠에스씨커피,,단체 이용 가능포장무선 인터넷간편결제주차,Yes
을지다방,,단체 이용 가능,No
매머드커피강남,1만원 대,,No
고스트요거트,1만원 대,,No
할리스,1만원 대,남/녀 화장실 구분무선 인터넷,No
다빈치보드게임,,,No
헬카페,1만원 대,,No
바나타이거,1만원 대,포장무선 인터넷배달,No
오카보카커피,1만원 대,포장반려동물 동반무선 인터넷간편결제,No
더앨리,2만원 대,,No
텐티북스,,예약단체 이용 가능포장무선 인터넷남/녀 화장실 구분,No
아비삭베이글,,무선 인터넷,No
필링커피,1만원 대,단체 이용 가능포장배달반려동물 동반대기공간무선 인터넷간편결제주차,Yes
카페달,,포장예약무선 인터넷단체 이용 가능배달제로페이간편결제지역화폐 (모바일형)지역화폐 (카드형)주차,Yes
탐앤탐스사가정역점,,,No
하삼동금호역점,,,No
인터내셔널티컴퍼니,,,No
슬라브,,무선 인터넷남/녀 화장실 구분반려동물 동반포장단체 이용 가능예약제로페이,No
별와플,,,No
더그린,1만원 대,포장,No
카페글락,,,No
커피빈이태원점,,,No
자작나무,1만원 대,,No
브로커피앤쥬스,1만원 대,주차배달무선 인터넷남/녀 화장실 구분단체 이용 가능포장,Yes
돌상cafe돌상카페,,예약단체 이용 가능주차무선 인터넷남/녀 화장실 구분,Yes
꼴라보하우스도산,,,No
와다당,,,No
타미,1만원 대,단체 이용 가능포장무선 인터넷예약반려동물 동반배달간편결제,No
투썸플레이스,,,No
오랑오랑,1만원 대,포장무선 인터넷지역화폐 (모바일형)제로페이간편결제지역화폐 (지류형)지역화폐 (카드형),No
로스티드바이,,남/녀 화장실 구분무선 인터넷반려동물 동반제로페이지역화폐 (모바일형)간편결제,No
마피아백다방,,,No
별다방,,,No
이트커피,,,No
비바라비다,1만원 대,포장무선 인터넷반려동물 동반,No
카페달콤한오늘,1만원 대,,No
그라미,1만원 대,단체 이용 가능포장예약대기공간배달,No
예설스페이스,,,No
하나원컴퍼니,,,No
할루카연구소,,포장무선 인터넷주차,Yes
아리스타충무로점,,,No
오살랑마켓,,,No
오늘의커피,,무선 인터넷반려동물 동반,No
라온,1만원 대,배달단체 이용 가능무선 인터넷포장예약제로페이간편결제주차,Yes
메가엠지씨커피구로고척,,,No
한국영파머스클럽,,단체 이용 가능무선 인터넷포장남/녀 화장실 구분,No
차차티클럽,1만원 대,남/녀 화장실 구분무선 인터넷,No
카페너와,1만원 대,포장배달예약,No
리프커피바,2만원 대,포장무선 인터넷남/녀 화장실 구분배달제로페이간편결제지역화폐 (모바일형),No
홍콩다방중랑,1만원 대,,No
빽다방중랑,,,No
바리스타폴커피칸타타,,주차남/녀 화장실 구분예약포장제로페이지역화폐 (모바일형)배달,Yes
커피베이중랑,,,No
공차중랑,,주차,Yes
향기나는굴뚝,1만원 대,단체 이용 가능반려동물 동반남/녀 화장실 구분무선 인터넷포장주차배달예약제로페이지역화폐 (카드형)지역화폐 (모바일형)지역화폐 (지류형),Yes
커피바102,1만원 대,남/녀 화장실 구분,No
피프틴커피,,,No
카페소소,,,No
구하니커피,,,No
이디야커피오금,1만원 대,포장,No
자몽자몽,1만원 대,무선 인터넷반려동물 동반대기공간포장배달방문접수/출장예약지역화폐 (지류형)지역화폐 (카드형)지역화폐 (모바일형)간편결제주차,Yes
매머드익스프레스보라매공원점,1만원 대,,No
카페,7만원 대,단체 이용 가능예약무선 인터넷반려동물 동반포장배달제로페이지역화폐 (지류형)간편결제지역화폐 (모바일형)주차,Yes
칼도에스프레소바,1만원 대,포장무선 인터넷주차,Yes
마리크루아상,,,No
그로비,,,No
체크커피,1만원 대,포장남/녀 화장실 구분예약지역화폐 (카드형)제로페이지역화폐 (모바일형)주차,Yes
피컨트,1만원 대,무선 인터넷반려동물 동반포장남/녀 화장실 구분단체 이용 가능제로페이간편결제,No
소적두,1만원 대,예약포장반려동물 동반,No
수요일,,,No
카페코르안암점,,포장배달무선 인터넷대기공간예약,No
메종인디아트래블앤북스,,,No
이알커피연희,,,No
채one,1만원 대,,No
석커피숍,,,No
빽다방개봉역,,,No
커피더주다,1만원 대,포장단체 이용 가능무선 인터넷제로페이배달주차예약,Yes
