TRDAR_CD,TRDAR_CD_N,카페_점포_수,RELM_AR,단위면적당_카페수
3110114,왕십리파출소,2,27058.0,0.07391529307413704
3110115,상왕십리역 3번,12,80878.0,0.14837162145453647
3110116,청계천박물관,2,98083.0,0.020390893426995505
3110117,성동구보건소,1,49735.0,0.020106564793405047
3110118,왕십리역 9번,4,63575.0,0.06291781360597719
3110119,마장지하차도,1,22524.0,0.044397087551056647
3110120,서울숲카페거리,23,34852.0,0.6599334328015609
3110121,한양대역 4번,4,29267.0,0.13667270304438447
3110122,마장역 2번,5,80335.0,0.06223937262712392
3110123,마장역 3번,3,169553.0,0.01769358253761361
3110124,뚝섬역교차로,10,79596.0,0.12563445399266293
3110125,사근동살곶이상점가,11,128923.0,0.08532224661231898
3110126,서울숲역 1번,10,18531.0,0.5396362851438131
3110127,성수1가1동주민센터,7,38774.0,0.18053334708825503
3110128,성원중학교,16,247340.0,0.064688283334681
3110129,성원어린이공원,18,70693.0,0.254622098369004
3110130,답십리역 6번,1,43065.0,0.023220712875885292
3110131,성수동카페거리,28,131865.0,0.2123383763697721
3110132,성수2가3동주민센터,10,76450.0,0.13080444735120994
3110133,서울교통공사,2,80187.0,0.024941698779103846
3110134,성수119안전센터,16,222826.0,0.07180490607020724
3110135,성동세무서,7,136762.0,0.05118380836782147
3110136,경수초등학교,28,260628.0,0.10743281612106144
3110137,성수초등학교,33,330983.0,0.09970300589456256
3110138,송정체육공원,7,102074.0,0.06857769853243725
3110139,자양4동주민센터,19,155861.0,0.12190349093102187
3110140,건대입구역 6번,17,179746.0,0.09457790437617526
3110141,건대입구역 1번,9,67458.0,0.13341634794983545
3110142,화양사거리,18,116892.0,0.1539882968894364
3110143,뚝섬유원지역 1번,2,8061.0,0.24810817516437167
3110144,어린이대공원역 4번,9,42830.0,0.21013308428671493
3110145,장안초등학교,4,14956.0,0.2674511901577962
3110146,신자초등학교,9,106885.0,0.08420264770547785
3110147,능동우편취급국,7,157029.0,0.044577753153876035
3110148,어린이대공원역 3번,9,45757.0,0.19669121664444786
3110149,세종대학교,3,45957.0,0.06527841242900972
3110150,중곡1동 마을마당,10,159510.0,0.06269199423233654
3110151,자양한강도서관,10,107574.0,0.09295926524996746
3110152,중곡어린이공원,2,50806.0,0.0393654292800063
3110154,광진정말공원,9,102102.0,0.08814714697067638
3110155,광진구청,7,97314.0,0.0719320961012804
3110156,군자역 5번,8,153696.0,0.05205080158234437
3110157,자양동우체국,11,115158.0,0.09552093645252609
3110158,중곡3동주민센터,6,166799.0,0.03597143867768991
3110159,구의역 4번,14,210895.0,0.0663837454657531
3110160,광진경찰서,4,47848.0,0.08359806052499583
3110161,중곡역 3번,10,141901.0,0.07047166686633638
3110162,군자역 4번,5,70945.0,0.07047713017125944
3110163,성자초등학교,7,66483.0,0.10529007415429507
3110164,아차산역 5번,3,85050.0,0.03527336860670194
3110165,국립정신건강센터,6,95687.0,0.06270444260975891
3110166,구의1동주민센터,13,131620.0,0.09876918401458745
3110167,용마초등학교,10,154354.0,0.06478614094872824
3110168,대원고등학교,6,58514.0,0.10253956318146085
3110169,성동초등학교,4,75500.0,0.052980132450331126
3110170,동대부여고,7,120727.0,0.0579820586944097
3110172,광진초등학교,10,95499.0,0.10471313835746972
3110173,구남초등학교,6,49267.0,0.12178537357663344
3110174,아차산역 1번,9,103458.0,0.08699182276865974
3110175,푸른동산공원,9,96115.0,0.09363782968319201
3110176,해오름공원,12,135318.0,0.08867999822640003
3110177,동의초등학교,4,29079.0,0.1375563121152722
3110178,장로회신학대학교,7,45933.0,0.15239588095704612
3110179,광나루역 1번,6,42085.0,0.1425686111441131
3110180,광진정보도서관,11,74699.0,0.14725766074512378
3110181,신설동역 9번,4,141747.0,0.02821929211905719
3110182,용두희망어린이공원,1,59118.0,0.016915321898575728
3110183,한국의류시험연구원,5,43441.0,0.1150986395340807
3110184,용두사거리,2,24379.0,0.08203781943475942
3110185,용두초등학교,1,28847.0,0.03466564980760564
3110186,종암초등학교,3,22890.0,0.1310615989515072
3110187,제기동역 6번,11,159981.0,0.06875816503209757
3110188,용두동신동아아파트,6,152517.0,0.03933987686618541
3110189,제기동역 1번,4,88499.0,0.04519825082769297
3110190,고대앞사거리,9,101416.0,0.08874339354736925
3110191,고려대역 6번,13,79173.0,0.16419739052454752
3110192,동의보감타워,2,33231.0,0.06018476723541272
3110193,고려대역 4번,4,67780.0,0.05901445854234287
3110194,홍파초등학교,1,87946.0,0.011370613785732155
3110195,동대문구청,5,115383.0,0.04333394000849346
3110197,세종대왕기념관교차로,3,24771.0,0.12110936175366356
3110199,홍릉시장,2,69877.0,0.02862172102408518
3110200,동대문경찰서,1,35357.0,0.028282942557343666
3110201,전농119안전센터,2,24149.0,0.08281916435463166
3110203,떡전교사거리,2,46180.0,0.043308791684711995
3110204,간데메공원,11,122554.0,0.08975635230184245
3110205,경희대삼거리,19,88816.0,0.21392541884345162
3110206,텃골근린공원,11,100623.0,0.10931894298520219
3110207,시립대앞사거리,3,29327.0,0.10229481365294779
3110208,시조사삼거리,2,42223.0,0.04736754849252777
3110209,답십리 장령당공원,1,27972.0,0.03575003575003575
3110210,서울시립대,13,110970.0,0.11714877894926556
3110211,전곡마을마당공원,6,126403.0,0.0474672278347824
3110212,답십리초등학교,14,80982.0,0.17287792348917044
3110213,청량초등학교,4,35455.0,0.11281906642222536
3110214,경희대후문,16,79862.0,0.20034559615336456
3110215,회기역 1번,3,51478.0,0.0582773223512957
3110216,전농중학교,3,65069.0,0.04610490402495812
3110217,자동차부품상가,1,56649.0,0.017652562269413405
3110218,답십리사거리,4,82160.0,0.04868549172346641
3110219,삼육보건대학교,23,179445.0,0.12817297779263842
3110220,외대앞역 1번,19,98625.0,0.1926489226869455
3110221,의릉,4,47130.0,0.0848716316571186
3110223,군자초등학교,2,43581.0,0.0458915582478603
3110224,외대앞역 2번,2,45770.0,0.043696744592527856
3110225,촬영소사거리,3,54806.0,0.054738532277487865
3110226,장안1동주민센터,17,285861.0,0.05946946243104166
3110227,답십리공원,6,55458.0,0.10818998160770313
3110228,장안근린공원,6,177937.0,0.03371979970438976
3110229,장평중학교,10,205648.0,0.04862677974013849
3110230,장안현대홈타운1차아파트,4,79796.0,0.050127825956188275
3110231,장안교,2,8256.0,0.24224806201550386
3110232,동대부고,11,104535.0,0.10522791409575741
3110234,중랑역 4번,4,58421.0,0.06846853015182897
3110235,세화어린이공원,2,32631.0,0.06129141000888726
3110236,신묵초등학교,9,180650.0,0.049820094104622195
3110237,메가박스 상봉,8,124410.0,0.06430351257937465
3110238,배꽃어린이공원,1,29174.0,0.03427709604442312
3110239,중랑역 2번,2,10368.0,0.19290123456790123
3110240,태릉시장 특화거리,3,45536.0,0.06588193956430077
3110241,먹골역 5번,10,99076.0,0.10093261738463402
3110242,면목5동주민센터,5,105010.0,0.047614512903532996
3110243,중랑노인종합복지관,9,128302.0,0.07014699692912037
3110244,중화역 4번,8,63066.0,0.1268512352139029
3110245,KB국민은행 중화동지점,1,62374.0,0.016032321159457467
3110246,월드순복음교회,6,87353.0,0.0686868224331162
3110247,먹골역 1번,7,148439.0,0.047157418198721365
3110248,먹골파출소,2,37643.0,0.053130728156629385
