상호명,지점명,시군구명,도로명주소,상가유형,행정동명_추정,임대료_분류,전용면적,전용면적(평),평당임대료,추정임대료(천원)
커피빈코리아,타임스퀘어점,영등포구,서울특별시 영등포구 영중로 15,집합,영등포동4가,기타,25752.335313588606,7790.046377151856,145.984128,1137223.127448073
란성엔제리너스커피롯데영등포역사점,,영등포구,서울특별시 영등포구 경인로 846,집합,영등포동,기타,21791.49635944693,6591.897985191763,90.975616,599701.9798119796
이디야커피영등포역코레일점,,영등포구,서울특별시 영등포구 경인로 846,집합,영등포동,기타,21791.49635944693,6591.897985191763,140.33121,925049.0204585221
카페리앙,,영등포구,서울특별시 영등포구 경인로 846,집합,영등포동,기타,21791.49635944693,6591.897985191763,177.984272,1173254.1639926226
피코리코롯데백화점,영등포점,영등포구,서울특별시 영등포구 경인로 846,집합,영등포동,기타,21791.49635944693,6591.897985191763,149.785798,987372.7000465404
남대문커피,,영등포구,서울특별시 영등포구 경인로 846,집합,영등포동,기타,21791.49635944693,6591.897985191763,145.984128,962312.4792331764
엔제리너스,,영등포구,서울특별시 영등포구 경인로 846,집합,영등포동,기타,21791.49635944693,6591.897985191763,149.785798,987372.7000465404
카페라네커피,전문점,영등포구,서울특별시 영등포구 경인로 846,집합,영등포동,기타,21791.49635944693,6591.897985191763,115.107956,758779.9032359421
피코리코롯데몰,은평점,은평구,서울특별시 은평구 통일로 1050,집합,진관동,기타,18899.78993804625,5717.160729035711,90.975616,520122.2190950329
오가다롯데몰,은평점,은평구,서울특별시 은평구 통일로 1050,집합,진관동,기타,18899.78993804625,5717.160729035711,148.794058,850679.5451114619
카페차이롯데몰,은평점,은평구,서울특별시 은평구 통일로 1050,집합,진관동,기타,18899.78993804625,5717.160729035711,226.84399600000003,1296903.585548734
이디야,가든파이브점,송파구,서울특별시 송파구 충민로 10,집합,문정동,기타,18044.959409511,5458.575657786618,174.083428,950247.5625048493
매머드익스프레스가든파이브툴동점,,송파구,서울특별시 송파구 충민로 10,집합,문정동,기타,18044.959409511,5458.575657786618,148.794058,812203.6230220902
스타벅스,가든파이브,송파구,서울특별시 송파구 충민로 10,집합,문정동,기타,18044.959409511,5458.575657786618,150.645306,822308.8002914164
카페비트윈,,송파구,서울특별시 송파구 충민로 10,집합,문정동,기타,18044.959409511,5458.575657786618,164.397434,897375.8314349821
솔레일,,구로구,서울특별시 구로구 구로중앙로 197,집합,구로동,기타,16743.592501156993,5064.913939487263,225.257212,1140908.3930288376
커피만,가산디지털점,금천구,서울특별시 금천구 가산디지털1로 168,집합,가산동,기타,15627.03678856636,4727.15735633322,114.744318,542414.4469311384
아마스빈가산디지털단지점,,금천구,서울특별시 금천구 가산디지털1로 168,집합,가산동,기타,15627.03678856636,4727.15735633322,177.984272,841359.6606964128
커피101스트릿우림라이온스점,,금천구,서울특별시 금천구 가산디지털1로 168,집합,가산동,기타,15627.03678856636,4727.15735633322,174.083428,822919.7572859045
빡빡이커피,,금천구,서울특별시 금천구 가산디지털1로 168,집합,가산동,기타,15627.03678856636,4727.15735633322,114.744318,542414.4469311384
그라인드커피,,금천구,서울특별시 금천구 가산디지털1로 168,집합,가산동,기타,15627.03678856636,4727.15735633322,145.984128,690089.9445830905
구메구메,,금천구,서울특별시 금천구 가산디지털1로 168,집합,가산동,기타,15627.03678856636,4727.15735633322,149.785798,708061.0368899418
만랩커피가산우림라이온스점,,금천구,서울특별시 금천구 가산디지털1로 168,집합,가산동,기타,15627.03678856636,4727.15735633322,150.645306,712124.066454969
더카페가산우림,2호점,금천구,서울특별시 금천구 가산디지털1로 168,집합,가산동,기타,15627.03678856636,4727.15735633322,115.93440600000001,548040.1801750223
스타벅스,가산디지털,금천구,서울특별시 금천구 가산디지털1로 168,집합,가산동,기타,15627.03678856636,4727.15735633322,131.33943399999998,620862.1716097414
해브썸,,금천구,서울특별시 금천구 가산디지털1로 168,집합,가산동,기타,15627.03678856636,4727.15735633322,90.975616,430056.05242134625
터사랑,,마포구,서울특별시 마포구 월드컵로 235,집합,성산동,기타,13317.503585090872,4028.526706119811,136.463424,549746.5479925512
복카페,,마포구,서울특별시 마포구 월드컵로 235,집합,성산동,기타,13317.503585090872,4028.526706119811,140.33121,565328.0271871075
제로커피광장,시장점,종로구,서울특별시 종로구 창경궁로 86,집합,예지동,기타,13026.595650828058,3940.5274520019534,285.224424,1123934.6727534449
대복상회,,종로구,서울특별시 종로구 창경궁로 88,집합,예지동,기타,13026.595650828058,3940.5274520019534,145.984128,575254.463940567
학산테라로사커피국립현대미술관지점서울관,,종로구,서울특별시 종로구 삼청로 30,집합,소격동,기타,12384.269195010293,3746.2245734800326,148.794058,557415.9564674132
카페베리,,광진구,서울특별시 광진구 광나루로56길 85,집합,구의동,기타,12326.147430434152,3728.642818813646,177.984272,663639.7776545747
쑥쓰럽커피,,광진구,서울특별시 광진구 광나루로56길 85,집합,구의동,기타,12326.147430434152,3728.642818813646,139.60393399999998,520533.20598723413
