상호명,지점명,시군구명,도로명주소,상가유형,행정동명_추정,임대료_분류,전용면적,전용면적(평),평당임대료,추정임대료(천원)
콜롬비아스페셜티커피,,구로구,서울특별시 구로구 경인로 661,집합,신도림동,기타,9353.693785100322,2829.4796373344793,145.984128,413059.1175500302
홍제동냇길,,서대문구,서울특별시 서대문구 통일로 484,집합,홍제동,기타,9313.59852953515,2817.3508771054358,131.33943399999998,370029.26957843144
탐앤탐스홍제역점,,서대문구,서울특별시 서대문구 통일로 484,집합,홍제동,기타,9313.59852953515,2817.3508771054358,145.984128,411288.5110642722
카사빈,,용산구,서울특별시 용산구 청파로 74,집합,한강로3가,기타,9241.682750479134,2795.5964518359046,177.984272,497572.19928579655
이루아,,용산구,서울특별시 용산구 청파로 74,집합,한강로3가,기타,9241.682750479134,2795.5964518359046,148.794058,415968.1405990658
스타벅스,용산전자랜드,용산구,서울특별시 용산구 청파로 74,집합,한강로3가,기타,9241.682750479134,2795.5964518359046,123.273282,344622.3497653669
델리뉴스,,용산구,서울특별시 용산구 청파로 74,집합,한강로3가,기타,9241.682750479134,2795.5964518359046,145.984128,408112.7102611585
자모크,,용산구,서울특별시 용산구 청파로 74,집합,한강로3가,기타,9241.682750479134,2795.5964518359046,208.033994,581579.0954876519
스무디킹롯데시네마건대입구,,광진구,서울특별시 광진구 아차산로 272,집합,자양동,기타,7887.222629705482,2385.8741090524177,148.794058,355003.89056304377
메가엠지씨커피건대스타시티몰점,,광진구,서울특별시 광진구 아차산로 272,집합,자양동,기타,7887.222629705482,2385.8741090524177,102.97567,245686.98491532577
정앤리,,광진구,서울특별시 광진구 아차산로 272,집합,자양동,기타,7887.222629705482,2385.8741090524177,164.397434,392231.5813752536
성북당건대스타시티점,,광진구,서울특별시 광진구 아차산로 272,집합,자양동,기타,7887.222629705482,2385.8741090524177,145.984128,348299.7513277941
이월드지오,,광진구,서울특별시 광진구 아차산로 272,집합,자양동,기타,7887.222629705482,2385.8741090524177,140.33121,334812.60063099774
이디야커피건대스타시티점,,광진구,서울특별시 광진구 아차산로 272,집합,자양동,기타,7887.222629705482,2385.8741090524177,285.224424,680509.568490989
헤일리스커피,을지로점,중구,서울특별시 중구 을지로 157,집합,산림동,기타,7796.622436234671,2358.467673856456,225.257212,531261.8528050305
브라운컬렉션,,중구,서울특별시 중구 을지로 157,집합,산림동,기타,7796.622436234671,2358.467673856456,145.984128,344298.8467841231
호랑이,,중구,서울특별시 중구 을지로 157,집합,산림동,기타,7796.622436234671,2358.467673856456,114.744318,270620.7647617055
솔커피숍,,중구,서울특별시 중구 청계천로 160,집합,산림동,기타,7796.622436234671,2358.467673856456,148.794058,350925.9758549226
서울바나나커피,을지로4가점,중구,서울특별시 중구 을지로 157,집합,산림동,기타,7796.622436234671,2358.467673856456,174.083428,410570.1374921178
챔프커피,,중구,서울특별시 중구 을지로 157,집합,산림동,기타,7796.622436234671,2358.467673856456,115.93440600000001,273427.54883874994
리오네커피,,중구,서울특별시 중구 을지로 157,집합,산림동,기타,7796.622436234671,2358.467673856456,140.33121,330966.62241816183
빈티지라이언,,중구,서울특별시 중구 을지로 157,집합,산림동,기타,7796.622436234671,2358.467673856456,226.84399600000003,535004.2315744233
톤즈,,중구,서울특별시 중구 을지로 157,집합,산림동,기타,7796.622436234671,2358.467673856456,139.60393399999998,329251.36548219016
세운나다방,,중구,서울특별시 중구 을지로 157,집합,산림동,기타,7796.622436234671,2358.467673856456,123.273282,290736.0506471909
해피클럽,,중구,서울특별시 중구 을지로 157,집합,산림동,기타,7796.622436234671,2358.467673856456,174.083428,410570.1374921178
이프프커피,,중구,서울특별시 중구 을지로 157,집합,산림동,기타,7796.622436234671,2358.467673856456,123.273282,290736.0506471909
가배장이,잠실점,송파구,서울특별시 송파구 올림픽로 269,집합,신천동,기타,7781.247412858188,2353.816750214226,115.93440600000001,272888.34676893667
홍콩다방잠실,,송파구,서울특별시 송파구 올림픽로 269,집합,신천동,기타,7781.247412858188,2353.816750214226,285.224424,671366.0267814045
카페공간학,잠실점,송파구,서울특별시 송파구 올림픽로 269,집합,신천동,기타,7781.247412858188,2353.816750214226,136.463424,321209.89320278604
카페7그램,,금천구,서울특별시 금천구 가산디지털1로 189,집합,가산동,기타,7642.3077716896605,2311.787697891482,226.84399600000003,524415.1592933446
매머드커피랩점주연합회,,송파구,서울특별시 송파구 충민로 52,집합,문정동,기타,7642.060629005762,2311.712937566024,139.60393399999998,322724.2203629133
커피스토어금천맥스점,롯데마트,금천구,서울특별시 금천구 두산로 71,집합,독산동,기타,7586.068035253716,2294.775254175605,177.984272,408433.90301806
규수당카페,,영등포구,서울특별시 영등포구 문래로 164,집합,문래동3가,기타,7547.63763698437,2283.150111012272,150.645306,343945.84711737774
킷사텐,문래점,영등포구,서울특별시 영등포구 문래로 164,집합,문래동3가,기타,7547.63763698437,2283.150111012272,285.224424,651210.1753190114
마실,,영등포구,서울특별시 영등포구 문래로 164,집합,문래동3가,기타,7547.63763698437,2283.150111012272,140.33121,320397.21768998646
14번가,3호점,영등포구,서울특별시 영등포구 문래로 164,집합,문래동3가,기타,7547.63763698437,2283.150111012272,139.60393399999998,318736.7374098499
북티디저트카페,,금천구,서울특별시 금천구 벚꽃로 298,집합,가산동,기타,7298.308656835852,2207.728433914893,150.645306,332583.9254920098
더리버)헤이듀(HEYDEW,가산점,금천구,서울특별시 금천구 벚꽃로 298,집합,가산동,기타,7298.308656835852,2207.728433914893,136.463424,301274.181354184
헤이듀,가산점,금천구,서울특별시 금천구 벚꽃로 298,집합,가산동,기타,7298.308656835852,2207.728433914893,90.975616,200849.45423612266
투썸플레이스가산,아울렛점,금천구,서울특별시 금천구 벚꽃로 298,집합,가산동,기타,7298.308656835852,2207.728433914893,115.107956,254127.1074310244
아임일리터가산대륭포스트6차점,,금천구,서울특별시 금천구 벚꽃로 298,집합,가산동,기타,7298.308656835852,2207.728433914893,225.257212,497306.751876795
매머드익스프레스가산디지털단지역점,,금천구,서울특별시 금천구 벚꽃로 298,집합,가산동,기타,7298.308656835852,2207.728433914893,139.60393399999998,308207.574578178
카페53,,금천구,서울특별시 금천구 벚꽃로 298,집합,가산동,기타,7298.308656835852,2207.728433914893,164.397434,362944.88950444694
스미다,,금천구,서울특별시 금천구 벚꽃로 298,집합,가산동,기타,7298.308656835852,2207.728433914893,115.107956,254127.1074310244
쿡;키,,금천구,서울특별시 금천구 벚꽃로 298,집합,가산동,기타,7298.308656835852,2207.728433914893,208.033994,459282.5637746802
빽다방가산대륭점,,금천구,서울특별시 금천구 벚꽃로 298,집합,가산동,기타,7298.308656835852,2207.728433914893,115.107956,254127.1074310244
악어커피,,금천구,서울특별시 금천구 벚꽃로 298,집합,가산동,기타,7298.308656835852,2207.728433914893,140.33121,309813.20248268195
