"소매업",악기,663,92,13.3,13.2,0.05
"소매업",인테리어,3875,227,13.8,13.4,0.06
"소매업",조명용품,9003,1407,12.4,60.3,0.14
"소매업",중고차판매,798,190,8.7,51.9,0.04
"소매업",자동차부품,3205,520,11.5,23.2,0.06
"소매업",모터사이클및부품,695,93,9.6,19.7,0.06
"소매업",재생용품 판매점,1325,85,10.8,12.6,0.03
"소매업",예술품,2059,92,8.4,10.6,0.06
"소매업",주유소,635,518,13.5,34.4,0.01
"소매업",전자상거래업,186115,3161,2.9,21.8,0.09
