iter	Logloss
0	0.6890642968
1	0.6857582368
2	0.6827595014
3	0.6805076089
4	0.6786901153
5	0.6762390685
6	0.6746241581
7	0.6730599079
8	0.672032328
9	0.670561997
10	0.6700511427
11	0.6693914434
12	0.668441712
13	0.6675665875
14	0.6668882933
15	0.6652561879
16	0.6640765581
17	0.6630988623
18	0.6619644263
19	0.6613521814
20	0.6600450873
21	0.6595713918
22	0.6589251724
23	0.6581413186
24	0.6569788376
25	0.656368168
26	0.6557947638
27	0.6547278698
28	0.6542588468
29	0.6536560655
30	0.6529951676
31	0.652337045
32	0.6517170577
33	0.6508924933
34	0.6503108328
35	0.6498563157
36	0.6492201348
37	0.6484859348
38	0.6477850914
39	0.647413137
40	0.6466891531
41	0.6463205606
42	0.6459884925
43	0.6457614297
44	0.6450883686
45	0.6445577166
46	0.6438719301
47	0.6435311162
48	0.6429020618
49	0.6425872352
50	0.642166281
51	0.6415912865
52	0.6408617224
53	0.6404965394
54	0.6398871673
55	0.6393613825
56	0.6390658863
57	0.6385266817
58	0.6381091531
59	0.6377768682
60	0.6372366807
61	0.6366687739
62	0.6362230974
63	0.6356284964
64	0.6351886441
65	0.6347987947
66	0.6340141307
67	0.633614464
68	0.6332852288
69	0.632653253
70	0.6319957603
71	0.6317698187
72	0.6314234396
73	0.6309599148
74	0.6306924247
75	0.6301970526
76	0.6299231077
77	0.6295948705
78	0.629226469
79	0.6287777099
80	0.6284118933
81	0.6281804802
82	0.6276897291
83	0.6271348205
84	0.6268636467
85	0.6266116538
86	0.6260713502
87	0.6254782206
88	0.624685983
89	0.6243040885
90	0.6239320265
91	0.6234442425
92	0.6230342336
93	0.6227706195
94	0.6225431766
95	0.6221552264
96	0.6218347599
97	0.6213951269
98	0.621066561
99	0.6207506628
100	0.620233877
101	0.6197922656
102	0.6194275709
103	0.6189424917
104	0.618385052
105	0.6178752642
106	0.6176044998
107	0.6171589115
108	0.6168717215
109	0.6164559539
