geometry
POINT (956252.960897 1942586.163331)
POINT (943905.117252 1949401.774663)
POINT (961791.799977 1950415.459073)
POINT (960758.841857 1943319.853698)
POINT (948936.226027 1943441.833829)
POINT (950452.002664 1945313.742328)
POINT (967455.758012 1945469.060527)
POINT (957183.84826 1961856.929384)
POINT (959062.410211 1956508.222321)
POINT (961837.998339 1948554.312507)
POINT (970841.479028 1951405.436946)
POINT (958765.742984 1944396.159187)
POINT (950079.829222 1941982.097374)
POINT (969220.962228 1944404.804357)
POINT (950708.782884 1941831.551615)
POINT (959218.689137 1947604.784607)
POINT (955216.179756 1955259.057214)
POINT (963238.215862 1964080.392165)
POINT (954403.842274 1953769.663026)
POINT (949615.05925 1942019.107139)
POINT (962002.06121 1954389.486699)
POINT (967611.660246 1945169.564067)
POINT (958095.125691 1961318.374842)
POINT (957712.689553 1951636.371135)
POINT (957691.063255 1943871.158468)
POINT (946493.276305 1950962.236002)
POINT (957973.465832 1947345.420955)
POINT (945723.008783 1943763.219851)
POINT (949455.478437 1942274.066578)
POINT (946421.928799 1951814.856501)
POINT (957866.991615 1953976.242258)
POINT (956434.788947 1955653.448324)
POINT (948747.61841 1957712.478282)
POINT (942728.98898 1943604.437646)
POINT (942604.149735 1943406.082615)
POINT (948038.324813 1949604.004522)
POINT (950029.939852 1942345.118438)
POINT (953281.321808 1947997.283132)
POINT (952874.251763 1941343.462892)
POINT (962821.868571 1948317.453626)
POINT (949319.109131 1943206.996934)
POINT (948958.441642 1944629.805164)
POINT (958611.559475 1945092.377198)
POINT (944395.113286 1949452.917591)
POINT (946263.134672 1951578.094313)
POINT (956872.611633 1953912.209057)
POINT (945876.797361 1941417.89608)
POINT (960452.755683 1944514.146858)
POINT (967765.46217 1947907.128908)
POINT (943839.81651 1949438.707752)
POINT (948073.245978 1943324.482584)
POINT (958701.056289 1946468.922003)
POINT (958743.592909 1952347.297455)
POINT (947926.009847 1943033.662727)
POINT (947209.098311 1951006.127403)
POINT (955187.900285 1954927.602866)
POINT (958607.201399 1945019.77639)
POINT (948848.663773 1952380.454935)
POINT (949948.892803 1942153.168507)
POINT (946378.470749 1951735.19578)
POINT (958468.892624 1944076.387258)
POINT (959293.21443 1943873.410074)
POINT (947988.398207 1943054.604698)
POINT (967745.71226 1950105.934109)
POINT (949540.707763 1942025.809439)
POINT (945972.724399 1952098.097224)
POINT (958907.132331 1944187.431063)
POINT (950551.806259 1944643.777721)
POINT (946339.358348 1951769.781865)
POINT (957842.395273 1946026.264114)
POINT (957702.191424 1946645.65859)
POINT (958091.266194 1943926.28183)
POINT (952799.355055 1951966.623833)
POINT (958465.22855 1958781.41681)
POINT (951255.394979 1955305.938704)
POINT (967778.9187 1950377.438926)
POINT (968413.655959 1948457.153091)
POINT (955969.826905 1945248.316711)
POINT (968644.4013 1949353.270244)
POINT (956535.611586 1960801.333973)
POINT (959046.02672 1961097.522001)
POINT (963493.923166 1945273.146862)
POINT (955310.411067 1951742.307192)
POINT (960471.574922 1947472.003104)
POINT (960457.919842 1952407.337368)
POINT (948514.053953 1951558.369248)
POINT (952030.763962 1953164.700567)
POINT (948575.284783 1957820.50465)
POINT (960467.302759 1958308.366186)
POINT (963862.084329 1950463.617675)
POINT (944292.748694 1949228.30082)
POINT (965385.808132 1946211.135576)
POINT (946848.328692 1953135.340582)
POINT (957538.207958 1946985.327405)
POINT (946917.320625 1944548.437281)
POINT (957936.041066 1959274.27713)
POINT (955913.812011 1955211.845675)
POINT (958829.550237 1957815.538027)
POINT (942644.066905 1950080.481166)
POINT (961730.562456 1956135.269502)
POINT (964541.016645 1945104.510243)
POINT (944731.569781 1949606.937959)
POINT (954998.819522 1952063.745573)
POINT (955230.163433 1945641.508667)
POINT (959538.110743 1944799.74035)
POINT (942319.127843 1947886.575007)
POINT (958949.04717 1944254.154071)
POINT (949673.770935 1958444.411899)
POINT (963476.613798 1960582.188305)
POINT (961572.662636 1949520.125353)
POINT (965646.626941 1946000.588404)
POINT (957540.226709 1959214.276721)
POINT (948485.707019 1943548.812537)
POINT (969565.807506 1950605.550311)
POINT (963620.204456 1951395.813754)
POINT (945936.558992 1952034.512999)
POINT (964540.036272 1944536.485113)
