,상권_코드,상권_코드_명,평균_평일_유동인구_수,평균_주말_유동인구_수,평일_대비_주말_유동인구_비율
618,3111032,방이역 1번,51010.8,49591.0,0.9721666784288817
619,3111031,장지동주민센터(한림연예예술고교),123305.2,126776.5,1.0281520973973524
620,3111030,방이역 2번,182243.4,200473.5,1.100031606082854
621,3111029,오금역 4번,27616.4,25895.0,0.9376674729508553
622,3111028,문현중학교(장지역 1번),117048.8,106397.0,0.9089969311945103
623,3111027,문정초등학교,116027.0,119395.5,1.0290320356468754
624,3111026,문정역 2번,129313.2,125375.0,0.9695452591073456
625,3111025,경찰병원역 3번,130802.6,130190.0,0.9953166068564386
626,3111024,경찰병원역 4번(건너말공원),45649.0,41176.5,0.9020241407259743
627,3111023,문정역 1번,112957.2,92859.0,0.8220724309738556
628,3111022,석촌중학교(방이육교),51480.6,48654.0,0.9450938800247084
629,3111021,방이역 4번,359759.8,362155.0,1.0066577755491304
630,3111020,방이동고분군(방산고등학교),35349.2,35561.5,1.0060057936247497
631,3111019,한성백제역 3번,189273.2,200410.5,1.0588424563012617
632,3111018,풍납초등학교(풍납백제문화공원),14960.2,16901.0,1.1297308859507225
633,3111017,송파나루역 3번,25019.2,25115.0,1.003829059282471
634,3111016,송파역 2번,105623.6,92760.0,0.8782128236492601
635,3111015,석촌역 3번,256673.6,259305.0,1.0102519308569327
636,3111014,송파나루역 2번,93043.8,94800.5,1.0188803552735377
637,3111013,송파나루역 1번(송리단길),336415.8,366055.5,1.0881043637070553
638,3111012,석촌역 6번,133005.2,132679.0,0.997547464309666
639,3111011,잠실나루역,6406.6,5879.0,0.9176474260918427
640,3111010,석촌역 7번,245294.6,260665.5,1.0626630182645684
641,3111009,송파책박물관,31446.8,32840.0,1.0443033949400258
642,3111008,석촌고분역 3번,87097.0,92247.5,1.0591352170568447
