기준_년분기_코드,상권_코드,상권_코드_명,평균_평일_유동인구_수,평균_주말_유동인구_수,평일_대비_주말_유동인구_비율
20191,3110074,서울역 12번,139649.8,126816.0,0.9081001190119857
20191,3110075,숙대입구역 1번,132313.6,127161.5,0.9610614479539518
20191,3110076,삼각지역 14번,9723.2,8079.5,0.8309507158137238
20191,3110077,삼광초등학교,63151.8,62360.0,0.9874619567454925
20191,3110078,이촌동점보아파트,14938.8,15953.0,1.0678903258628538
20191,3110079,후암동주민센터,348117.6,351213.5,1.0088932590595823
20191,3110080,해방촌예술마을,272114.6,282877.0,1.0395509832989485
20191,3110081,해방촌 남동측,209262.0,226778.0,1.083703682465044
20191,3110082,용산구청,59381.6,74888.5,1.2611398143532677
20191,3110083,서빙고역 1번,18354.6,19641.0,1.0700859729985945
20191,3110084,경리단길북측,171953.6,190046.0,1.1052167561481703
20191,3110085,경리단길남측,186919.6,198134.0,1.0599958484824492
20191,3110086,이태원역 북측,60131.4,77730.5,1.292677369893267
20191,3110087,이태원엔틱가구거리,36659.2,46360.5,1.2646347983589385
20191,3110088,오산고등학교,59508.2,61855.5,1.039444984052618
20191,3110089,서빙고동주민센터,81495.0,81235.0,0.9968096202220995
20191,3110090,한국폴리텍대학서울정수캠퍼스,96384.2,100921.0,1.0470699554491296
20191,3110091,리움미술관,34030.6,39372.0,1.156958737136577
20191,3110092,NH농협은행 보광동지점,166555.6,174591.0,1.048244550168232
20191,3110093,우사단길,388258.0,425166.5,1.0950617888105332
20191,3110094,오산중학교,14033.8,14107.0,1.0052159785660335
20191,3110095,한강진역 3번,86691.4,87564.5,1.010071356559013
20191,3110096,한남힐사이드아파트,28188.4,27372.5,0.9710554696258035
20191,3110097,한남초등학교,10014.8,7872.5,0.7860865918440708
20191,3110098,서울독일학교,16024.6,13825.5,0.8627672453602586
20191,3110099,유엔빌리지길,57342.6,59279.0,1.033768960598229
20191,3110100,옥수동우편취급국,8522.4,8807.0,1.0333943490096686
20191,3110101,옥정중학교,21208.0,21370.0,1.0076386269332327
20191,3110102,옥수역 6번,93945.8,85633.5,0.911520259553913
20191,3110103,옥수터널,35015.0,37110.0,1.0598315007853778
20191,3110104,신금호역 4번,203167.2,208594.5,1.0267134655594012
20191,3110105,금동어린이공원,121284.2,131041.5,1.080449885475602
20191,3110106,금북초등학교,97486.2,109581.0,1.1240667909919557
20191,3110107,금호사거리,21465.6,24463.5,1.1396606663685154
20191,3110108,성동구립금호도서관,17700.8,20283.5,1.145908659495616
20191,3110109,금호삼성래미안아파트,51612.4,60898.5,1.1799199417194317
20191,3110110,상왕십리역 6번,117923.0,139401.5,1.1821400405349254
20191,3110111,대현산장미원,64432.4,75227.5,1.1675414853396737
20191,3110112,행당역 2번,134809.8,143001.0,1.0607611612805599
20191,3110113,응봉산,36752.6,41523.5,1.1298112242399179
20191,3110114,왕십리파출소,38547.0,41172.0,1.0680986847225464
20191,3110115,상왕십리역 3번,117404.6,116163.5,0.9894288639457056
20191,3110116,청계천박물관,107564.8,103962.0,0.9665057714047718
20191,3110117,성동구보건소,107989.6,106998.5,0.9908222643661981
20191,3110118,왕십리역 9번,233489.8,230151.5,0.9857025874363677
20191,3110119,마장지하차도,25747.0,23848.5,0.9262632539713365
20191,3110120,서울숲카페거리,79323.4,77233.0,0.9736471205218133
20191,3110121,한양대역 4번,24963.2,24277.0,0.9725115369824381
20191,3110122,마장역 2번,76136.0,76809.0,1.0088394452033205
20191,3110123,마장역 3번,154601.0,154940.5,1.002195975446472
20191,3110124,뚝섬역교차로,73240.6,63967.5,0.873388530405267
20191,3110125,사근동살곶이상점가,121583.0,117623.0,0.9674296571066678
20191,3110126,서울숲역 1번,29559.6,22763.5,0.7700882285281263
20191,3110127,성수1가1동주민센터,17968.8,16003.0,0.890599260941187
20191,3110128,성원중학교,231751.6,229453.5,0.9900837793568631
20191,3110129,성원어린이공원,39352.4,35875.5,0.911647065998516
20191,3110130,답십리역 6번,49670.8,53570.5,1.0785109158700885
20191,3110131,성수동카페거리,160958.2,107705.5,0.669151991013816
20191,3110132,성수2가3동주민센터,83482.4,65172.0,0.7806675419010475
