query,found_name,score,reviewCount
텀브커피쌍문점,텀브커피 쌍문점,4.67,7
화선연,화선연,,3
한빛,한빛,4.18,25
쑤다방,쑤다방,4.51,9
멜리플루어스,멜리플루어스,,20
이디야충정로,이디야커피 서울시청점,4.4,50
모각커피,,,
백씨네콩다방,백씨네콩다방,4.58,65
스테이슬로우커피,,,
나인티커피,나인티커피,,11
47번가찻집,47번가찻집,4.21,49
터치카페,터치카페 은평구청점,,4
투썸플레이스정릉,투썸플레이스 정릉중앙점,,7
다락쿠키,다락베이크샵,4.89,73
커피드니로,커피드니로,,19
설빙노원역점,설빙 노원역점,4.34,363
크라프트카페,크라프트카페,4.45,342
쁘띠따쁘띠,쁘띠따쁘띠,,537
키쿠KieCoo,키쿠,4.85,190
카페모호,카페모호,4.57,351
아야나메이드카페,아야나메이드카페 홍대본점,,1
후암동,홍철책빵,4.55,"1,258"
메종드피폴라,,,
풀딥커피,,,
메가엠지씨커피충무아트,,,
모서리에커피집,모서리에커피집,,203
1.5도씨,1.5도씨,4.4,145
미크플로연트럴파크점,미크플로 연트럴파크점,,318
카페지금여기456,,,
정이네커피상점,,,
마일더커피,,,
케이드,케이드,,235
매머드익스프레스용산더프라임점,매머드익스프레스 용산더프라임점,,18
김.Coffee,김Coffee,,202
더코너샵,더코너샵,,10
카페에뚜왈,카페 에뚜왈,4.57,235
애브릿지,애브릿지,4.48,3
사주카페큐,,,
설빙마포,설빙 홍대입구역점,4.58,412
커피킹,커피킹,4.71,6
벌툰마곡,,,
남대문커피,남대문커피,4.4,57
카페커디,카페 커디,,236
컴포즈커피마곡퀸즈파크나인점,컴포즈커피 마곡퀸즈파크나인점,4.26,15
이디야마곡퀸즈파크9점,이디야커피 마곡퀸즈파크9점,4.64,56
더팬,the pan 1913,4.51,43
1인1잔,1인1잔,4.33,"2,338"
더까페,더카페 종각역점,4.6,2
디저트39행당점,디저트39 행당점,,11
투썸강서송정역점,투썸플레이스 강서송정역점,4.29,52
카페어싸이드,,,
에프이26,FE26,,51
치카메이드카페,치카 메이드카페,,6
버터에뜨,버터에뜨,,54
메이드문,메이드문 메이드카페 홍대본점,,136
벤티프레소숙명여대점,벤티프레소 숙명여대점,,9
자몽밀크티,자몽밀크티,,0
포마이카이,포마이카이,,127
갤러리,onground,4.4,885
삼HUNDREDCOFFEE,,,
르띠,"쿠키 굽는 카페, 르띠",4.59,351
컴포즈커피길동,컴포즈커피 길동중앙점,,27
메가엠지씨커피길동역점,메가MGC커피 길동복조리시장점,,5
공차길동역점,공차 길동역점,,36
데이지,데이지,,269
만스에스테이트,만스에스테이트,,34
카페우,카페우,4.4,36
모래,숲속모래성 키즈카페 노원공릉점,,37
요거트리,요거트리,,9
호말커피,호말커피,,326
샛길,,,
컬러브루니,컬러브루니,4.58,28
리지트커피,리지트커피,,220
코지코튼,코지코튼,4.93,41
데이즈앤하하코,,,
데이즈커피,더데이즈커피,4.84,27
카페엔젤로,카페안젤로 서울성모점,4.24,12
고우온네트워크비아엠,,,
떡모다방,,,
커피빈선릉역3번출구세방빌딩,커피빈 선릉역3번출구세방빌딩점,4.53,43
로맨티카,로맨티카,,117
으네네,으네네 포차,5,4
하니앤손스,하니앤손스,4.64,248
삼겹살꼬치,우리돼지 솥뚜껑 삼겹살,,63
씨제이씨지브이CGV명동,,,
카페마루공방,카페마루공방,,1
디저트카페스테이,루프탑스테이 남영,,"1,458"
프레스나인,프레스나인,,1
헬로커머스,,,
퍼즐,퍼즐,,12
메가엠지씨커피한성대입구역점,메가MGC커피 성북구청점,4.38,9
책방시행과착오,,,
먼셀커피,먼셀커피 미아점,,79
듀오,듀오커피,4.42,5
모쿠816,모쿠816 봉천점,4.2,103
고유,고유,,197
퐁당카페,퐁당카페,,5
빽다방명일역점,빽다방 명일역점,,2
커피빈삼성로점,커피빈 삼성로점,4.35,37
카페1997,카페1997,,0
코끼리,코끼리,,28
또디저트,또디저트,,14
오종종,오종종,,128
네마,네마 커피,,226
냠냠크로플,디저트테이블냠냠 송도씨워크점,,15
커피명가안암점,커피명가 안암점,4.41,308
키블리키즈카페,,,
카페요아정,카페요아정 성신여대점,,21
커피빈신촌역앞점,,,
우지커피명일역점,우지커피 명일역점,,5
카페더그레이,카페 더그레이,,22
카페투어인케이씨,,,
운율커피,운율커피,,26
커피공장2010,커피공장2010,4.36,14
재미난조각가,,,
카페A,카페A,,1
약속,약속,4.25,0
투썸플레이스수유역점,투썸플레이스 수유역점,,8
가든아트로뎀,,,
버글러,버글러커피 아차산,4.95,135
파이프,파이프그라운드 한남점,4.55,"4,538"
유주얼쿠키,유주얼,,299
컴포즈커피역삼2동점,컴포즈커피 역삼2동점,,5
리치보드게임카페,리치카페,4.49,160
새로나,새로나,,71
골든서울호텔커피숍투썸플레이스,,,
돌체커피호프,,,
빽다방창동역점,빽다방 창동역점,,7
홍스커피,홍스커피,4.72,5
도통,오봉집 남원도통점,,124
메가이레,,,
에쏠로지,카페에쏠로지 양평점,4.58,3
바리오,바리오,4.65,4
그린도트,,,
카페띠노컨시어지,카페띠노 컨시어지,,6
제니스,제니스,4.49,135
뉴블카페,뉴블커피,4.54,2
해머플레이스,해머플레이스,,"1,378"
큐베리,큐베리,4.71,0
오마일,오마일,4.88,6
핸디드,핸디드,,26
노리밋커피바,노리밋커피바,5,56
투니크,투니크 홍대점,,100
덤,덤,,42
빽다방오류동역,빽다방 오류동역북부점,,9
썬비,카페썬비,,4
스페셜스펙트라,,,
스몰디,,,
아뜨리에파젠다,아뜨리에파젠다,4.24,37
메가엠지씨커피난곡신사,,,
드링커,드링커,,17
카페the곳,더 피아노,4.02,"1,097"
공간21s,공간21s,4.54,158
지니카페,지니카페,,14
꼬물베이크샵,크림오브,,143
신양로스터스,신양로스터스,4.71,314
카페비플러스,카페비플러스,4.31,4
케인다,케인다,,69
커피데포,커피데포,,0
24CAFE33커피상왕십리역,24cafe 33커피 상왕십리역본점,,7
사람과나무찻집,사람과나무 찻집,,73
스페이스엘,스페이스엘,,35
디저트카페커피공원,스타벅스 마로니에공원점,4.45,287
지피디파운데이션,,,
카페시벳,카페시벳,4.09,12
메가엠지씨커피수유역점,메가MGC커피 수유사거리점,4.48,15
카페루나토,,,
알피엠,알피엠,,0
카페헐리우드,카페헐리우드,4.34,47
야카모즈로스팅컴퍼니,,,
상담카페,머그,,37
트레스드,트레스드,4.58,770
모닝캄컴퍼니,,,
커피마스,까페Dumas,4.61,0
라이언스커피로스터스,라이언스커피로스터스,4.81,76
쉘터해방,쉘터 해방촌,,18
투썸플레이스구로구청,투썸플레이스 구로구청사거리점,4.46,39
래핑포레스트,래핑포레스트,4.55,112
구스르릉,구스르릉,,10
유정원카페,유정원카페,,4
크레마도로,크레마도로,4.41,11
커피사피엔스구로한영캐슬시티점,커피사피엔스 구로한영캐슬시티점,,20
컴포즈커피구로한영시티점,컴포즈커피 구로한영캐슬시티점,4.41,8
와드커피구로한영시티점,와드커피 구로한영시티점,,16
은탑플래닝,,,
하우신사역점,,,
카페컬렉터,,,
누구나,누구나홀딱반한닭 쌍문역점,4.27,61
언맷피플,,,
비엘씨티디마곡,,,
커스텀커피,커스텀커피 을지로점,,62
댕그르르,,,
블루트리,블루트리,4.4,12
스퍼터,스퍼터,,85
고망고,고망고 광운대점,,7
작은따옴표,작은따옴표,5,253
이디야삼성금융연,,,
공차건대,공차 건대로데오점,4.38,46
네오피스트,동네카페 네오피스트,,2
카프,카프,4.31,7
올림픽북단점빽다방,빽다방 올림픽북단점,,1
카페27g,카페27g,4.58,43
어니언컴퍼니한남점,,,
인마인드커피,인마인드커피,4.57,47
몰리고;몰리다,,,
귀천,귀천,4.38,110
모임,연꽃치 정릉시장점,,27
숨숨,카페숨숨,,48
더트커피,더트커피,,209
가비루,,,
파쪼카페,파쪼커피,4.84,7
퍼햅스,퍼햅스,,315
봉,봉,3.38,0
씨티커피역삼,씨티커피 역삼,,42
공차마곡역점,공차 마곡역점,,16
우리행성,우리행성,4.53,91
모도리,,,
크로와플마침내카페,크로와플 마침내카페,,22
을의커피,을의커피,4.59,133
투섬플레이스상수점,투썸플레이스 신촌연세로점,4.45,101
컴포즈커피삼양솔매점,컴포즈커피 삼양솔매점,,2
화이트365커피,화이트365 커피,,0
만화카페콩툰대학로,콩툰 대학로점,4.01,79
가비아노,가비아노,4.4,181
황제커피솝,,,
카페방이동,카페방이동,4.74,68
모아,모아,,7
제1보급소,제1보급소,4.3,63
헤이커피,헤이커피,4.6,743
어퍼스트로피,어퍼스트로피,4.62,276
커피빈광화문역1번출구점,커피빈 광화문역1번출구점,4.32,23
페이브,페이브커피 이대 김소영점,,34
더치앤빈,더치앤빈 종로이화점,4.47,6
폴바셋서머셋,,,
어센틱커피,,,
빈마마파파,빈마마파파,4.5,59
투썸플레이스사당역,투썸플레이스 사당점,4.27,115
제제커피,제제커피,4.5,1
커피집단카페소프트구로지점,,,
바늘카페,바늘카페,4.69,80
커피데이즈,커피데이즈,,0
발루토,발루토,4.47,533
포코너스,포코너스,,103
팔이커피,82 coffee,4.61,3
언더스코어커피,언더스코어 커피,,1
그린그레스,그린그라스,,222
외당,외당,,0
이넬,이넬,4.61,61
와플샵홈플러스,와플샵 홈플러스월곡점,,3
제주스홈플러스상암,제주스 홈플러스 상암월드컵점,,164
팔공티홈플러스,팔공티 홈플러스월드컵점,4.38,6
쥬씨상암,쥬씨 상암월드컵점,4.36,4
올리브크리에이티브,,,
스템상암,스템커피 상암 JTBC점,,14
그루타,그루타,,38
그림,그림,4.33,24
썬월드,,,
산돌사회적협동조합,,,
카페휴,카페휴,,48
우물커피앤바,우물커피앤바,,6
백억커피외대점,백억커피 외대점,,3
라온까페,카페 라온,4.72,35
뚜또페르뚜띠,카페 뚜또 페르 뚜띠,4.93,418
마니달오경희대,마니달오 경희대본점,,6
빽다방서울경희대점,빽다방 서울경희대점,,0
코너50,코너50,,21
블랑커피,블랑커피,4.6,599
메리크리스마스,메리크리스마스,4.39,70
브리앙리,브리앙리,,4
엘리펀트,엘리펀트,,0
브루다한국노총,브루다커피 한국노총점,4.5,52
커피기업동,커피기업 동여의도점,4.49,66
메가엠지씨커피제기약령,,,
어써드,Athird,,127
파툼,파툼,4.09,176
요거프레소건국대점,요거프레소 건국대점,4.42,28
스타세일러커피,스타세일러커피,4.87,7
미들리,카페 미들리,,15
작약,카페작약,,304
매머드익스프레스성수우림,매머드익스프레스 성수우림점,4.5,5
커피사피엔스성수우림점,,,
토프레스성수우림점,,,
유니드,유니드,,4
매머드익스프레스매헌역점,매머드익스프레스 매헌역점,,7
국민커피,국민커피,4.25,3
란생과일쥬스,,,
초이커피숍,초이커피 신길역점,,13
고또,고또,4.33,11
매머드익스프레스성북,매머드익스프레스 성북구청점,,6
더블엠컴퍼니,,,
새문안카페,스타벅스 새문안로점,4.43,122
디와이에이치,,,
카페달토끼,카페달토끼,4.59,7
아후Ahoo,아후 Ahoo,,60
탐미안,탐미안,,1
시루뫼북카페,,,
커피베이염창동투웨니,커피베이 염창투웨니퍼스트점,4.33,5
팩토리커피,팩토리커피,4.41,16
그릭팩토리,그릭팩토리,4.68,149
카페오로미아,카페오로미아,4.28,9
커피엔드붕붕,,,
국민우유집,국민우유집 성북점,4.11,60
스프레드,스프레드 서울,,321
뉴욕,뉴욕,,0
어트랙트커피,어트랙트커피,,62
이디야거여역점,이디야커피 거여점,4.24,6
공차암사역점,공차 암사역점,4.66,23
모이카페,모이카페,4.29,100
강서커피,어나더사이드,,"2,441"
세렌디피티,세렌디피티,,5
컴포즈커피강서,컴포즈커피 마곡나루점,,2
이디야월곡동아점,이디야커피 월곡동아점,4.66,5
카페캠프통,캠프통포레스트 카페,,1
매머드익스프레스중림한국경제점,매머드익스프레스 중림한국경제점,,11
림공방까페,림공방카페,4.75,9
에이치커피로스터스서촌,에이치커피로스터스 서촌,,274
부어크,,,
카페온더문,온더문,4.21,37
오엘커피,오엘커피,,32
포석정,포석정,4,555
퍼셉션,퍼셉션 합정,4.61,554
코랄이앤씨,,,
섹터,섹터커피 충무로점,,947
이퍼스,카페이퍼스,,31
카페라움,카페라움,4.5,1
뚝섬역점빽다방,빽다방 뚝섬역점,4.5,14
눈사람,눈사람,3.7,11
오페뜨후암점,,,
또또커피호프,또또커피호프,,0
빽다방숙대입구역점,빽다방 숙대입구역점,,10
파이브브루잉,파이브브루잉,5,234
백미당,백미당 현대백화점 미아점,4.36,12
커피빈세종문화회관옆점,,,
이디야커피보라매역,이디야커피 보라매역점,4.42,25
스탠딩커피,스탠딩커피 경리단점,4.34,261
카페스윗정릉점,카페스윗 정릉점,,86
요거티,요거티 용산직영점,,112
컴포즈커피화곡중앙,컴포즈커피 화곡중앙시장점,,6
카페미우,카페미우,4.65,118
겨울빙수,겨울빙수,,2
카페바이올렛,카페 바이올렛,4.5,4
커피애인,커피애인,4.9,9
이너커피,이너커피,,249
언오디너리,을지로 언오디너리 와인바,,607
파스쿠찌명일역점,파스쿠찌 명일역점,,23
서이갤러리,,,
나를위한하루날위한커피서울여대점,,,
쥬씨&차얌서울여대점,쥬씨&차얌 동덕여대점,4.41,9
카페잇지,,,
컴포즈커피명일역점,컴포즈커피 명일역점,,6
메가엠지씨커피명일역점,메가MGC커피 천호초교사거리점,4.44,14
카페쌔미,카페 쌔미 명동점,4.66,86
믹스엠,,,
공존,공존,,88
대학가,대학가,,0
매머드익스프레스남성점,매머드익스프레스 남성점,4.59,9
빈트리커피,빈트리커피,4.32,7
오빠생각타코야끼&캔카페,오빠생각타코야끼&캔카페,,79
빽다방수유,빽다방 빨래골입구점,,5
카페시사,카페시사,4.51,207
카페드리옹케이크부띠끄,,,
이디야커피종로5가점,이디야커피 종로5가점,,54
콩스킹,콩스킹,4.42,26
케머스정동그집,,,
이피코웍스,,,
클래직,클래직,4.42,685
차차커피을지로4가역점,차차커피코 을지로4가역점,,19
모조,모조,4.37,73
젠틀커피,젠틀커피,,463
아지트커피무,,,
인생한방찻집,인생한방찻집,4.4,5
다인茶人,,,
알로커피ALLOCOFFee,알로커피,,1
메이븐커피로스터스,메이븐커피로스터스,4.62,497
알라딘중고서점커피알라딘커,,,
연리담,연리담,,69
에이디디,에이디디,,0
미누플레르,미누플레르,,9
네스카페,굿네스카페,,2
다락,수유다락 수유역점,4.86,481
카페가가,카페가가,4.64,12
카페세화,카페 세화,,65
온디앨리,온디앨리,,58
송파다방,청년다방 롯데월드점,4.4,242
커피&우동그리덮밥,,,
빽다방중랑역동부,빽다방 중랑역동부시장점,,38
스트렝스커피,스트렝스커피 혜화점,,102
페이브커피이대김소영점,페이브커피 이대 김소영점,,34
1%리버티커피,,,
피그먼츠을지로,피그먼츠 을지로입구점,,312
잠시;휴식,잠시휴식,,1
아임유,펜타온 카페(아임유)(PNS 테스트),,0
스튜디오잇,,,
커피바,유목커피바,4.61,467
말랑,말랑,,51
린덴,린덴,,18
코지카커피,코지카커피,,4
히포커피대,,,
도이타로카페,도이타로카페,4.6,24
커피에반하다건대,커피에반하다 구의역점 스마트 무인카페,,23
파스쿠찌공릉역점,파스쿠찌 공릉역점,,45
티라노,티라노,4.53,842
더치앤빈은행나무,더치앤빈 은행나무시장점,4.3,9
정동커피,커피루소 정동,4.44,"1,255"
1214카페,런커피,4.55,0
카카오빈,카카오빈,,196
알렉스,알렉스,4.77,309
프라자,맘스터치 고대타이거프라자점,4.33,6
하루홍차,하루홍차,,5
레몬버베나,레몬버베나,,317
프라이빗,프라이빗,,6
사노,카페사노,4.43,45
커피에반하다구로,커피에반하다 개봉한진아파트점 스마트 무인카페,,3
피프틴커피&아이스크림,피프틴 커피&아이스크림(15coffee),,2
옥수동생과방,옥수동생과방,,0
카페드마레,카페드마레,,21
에그마카슈,에그마카슈 대학로점,4.56,198
사층,4F,4.38,634
우화,우화,,466
와,와,4.48,155
원즈커피,원즈커피,4.74,219
커피는,커피는,,7
마켓728,마켓728,,12
킹스커피,킹스커피,4.34,63
첫만남,카페첫만남,4.3,423
더빈스11,더빈스11,,0
검프,섹터커피로스터스 본점,,295
아주신씨화곡파우암재단,,,
청담커피,버터앤쉘터,,299
빔더랜드,빔더랜드,,264
캐롤,캐롤,,152
빈즈메이드,빈즈메이드,4.31,13
그루브커피로스터스,호이폴로이커피로스터스,4.65,395
와우커피,와우커피,4.14,3
헬카페뮤직,헬카페 뮤직,,270
안녕소담,안녕소담,,5
재해석,재해석,,610
미스터빈커피,미스터빈커피,4.56,15
카페비케이,Cafe BK,,"1,077"
체리시,체리시,,25
알롱달롱,알롱달롱 디저트,,22
첩첩,첩첩,,46
카페공감,카페공감,4.39,67
코페아커피옥수점,코페아커피 옥수점,4.68,45
저스트단비,저스트단비 크레페 홍대점,,822
샌드김,샌드김,,1
나눔문화연구소,,,
카페2.7,카페2.7,,967
스윗랜드,스윗랜드,,0
오동커피,오동커피,,39
타메니,타메니,,20
하우미아사거리역점,,,
본깔리떼,본깔리떼,,29
담연당,,,
메가엠지씨커피동양미래대학점,,,
카페640,카페640,4.5,78
코너커피,코너커피,,11
서현카페,카페온더데스크,4.34,523
오감공간,오감공간,,42
브루밸류,,,
랑데자뷰약수,,,
투썸플레이스공덕헤링턴,투썸플레이스 공덕해링턴스퀘어점,4.33,55
클래시,클래시,,2
메가커피노량진역점,메가MGC커피 여의대교점,,4
하프잇댕,,,
모노치즈종로5가점,모노치즈 종로5가점,4.6,63
페이페이커피,,,
백오얏,백오얏,,451
카페게이트노원역,카페게이트 노원역로데오점,4.64,15
블랙라인커피,블랙라인커피 대학로점,,45
다이브하이드어웨이,다이브 하이드 어웨이,,5
감성커피장안동,,,
옐로우벌스데이,옐로우벌스데이,,49
뉴노멀커피,뉴노멀커피 신당역점,,18
커피가,커피가,,6
혜화동콩집,혜화동콩집,4.51,47
카페테라스,카페 테라스,,38
카페나무,카페 나무,,487
마노아,마노아,,8
스위치,스위치,,3
흐린세상건너기,흐린세상건너기,4.68,11
안방다방,안방다방,,42
환심,환심,,117
이야기꽃이피었습니다이꽃피,,,
트마리,트마리,,543
울트라브이카페,울트라브이카페,,5
비비,비비,,38
언플러그드,언플러그드,4.24,17
컴포즈커피노원,컴포즈커피 공릉2동점,,13
커피비,커피비,4.37,49
히도커피,,,
모모,모모,4.57,"1,368"
선에프앤비,,,
카페브릿지,카페브릿지,,72
앤디앤가비,앤디앤가비 방이점,,162
숙커피숍,숙커피숍,,0
커피야석촌호수길,커피야 석촌호수길,4.48,28
장꼬방찹쌀떡,장꼬방,4.46,892
토프레소은행,토프레소 은행사거리점,4.39,13
백억커피신당점,백억커피 신당점,,8
안단티노,안단티노,,4
자작카페핸리,,,
두부커피,두부커피,4.72,28
플럼파이,플럼파이,,0
인산인해,인산인해,4.29,23
이미커피,이미커피,4.76,989
컴포즈커피홍대연남점,컴포즈커피 홍대연남동점,,19
텐퍼센트양재역점,텐퍼센트커피 양재역점,,11
보리원양재역점,보리원 양재역점,,3
카페051서울,카페051 여의도역점,,54
카페누빗,카페누빗,,6
83번가,,,
마이프룻,,,
아오리,아오리,,37
지쿠커피,지쿠커피,4.73,11
공차장안사거리,,,
공차장안동,공차 장안동사거리점,4.6,14
투썸플레이스서울대역,투썸플레이스서울대입구역점,4.34,102
앙떼띠커피로스터리,앙떼띠 커피로스터리,4.62,525
학다방,학다방,4.39,3
카페홍시,카페 홍시,4.32,3
마지드도로시,마지드도로시,,51
원커피숍,카페 원오프,,577
분카샤,분카샤 을지로점,4.26,"2,033"
과일에반하다;프루타,"과일에반하다,프루타 고대점",,5
단골카페24,24시무인카페 단골카페24,,5
커피상점,커피상점,4.56,5
타무르트,타무르트 커피,,1
비단뜨락,,,
밀플렉스,밀플렉스,4.82,28
노원실버카페,,,
유림다방,유림다방,,0
메가엠지씨커피보라매공원점,메가MGC커피 보라매타운점,4.41,19
빠말Pasmal,빠말,,33
월드베브릿지한국외대점,,,
꽁다방,,,
하늘나리,하늘나리,,1
함께그린카페,함께그린CAFE,4.34,23
꿈나눔카페,꿈나눔까페,4.41,2
소보로인,소보로인,4.4,148
마시모,마시모,4,1
빅스트로우버블티,,,
레스트인무드,레스트인무드,4.63,128
보헤미안,보헤미안,4.16,35
플틴,플틴,,17
아마스빈수유역점,아마스빈 수유역점,4.56,16
더홀릭보드게임카페수유역점,,,
쥐쥐앤비카페,,,
충무로점컴포즈,컴포즈커피 충무로점,4.75,16
이화다방,이화다방,,0
달팽이모카,달팽이모카,,2
커피렉,커피렉,4.3,341
오렌지보트,오렌지보트,,20
연남동그라미,연남동그라미,,256
앨리14,앨리14,4.21,35
과자굽는땅콩누나,과자굽는땅콩누나,,18
카페달빛,카페달빛,5,2
나인커피로스터스,9coffeeroasters,4.36,86
비스트로에버,비스트로에버,4.62,73
에버델리,에버델리,4.3,24
더벤티외대역점,더벤티 외대역점,,8
오더바틀,블루보틀 성수 카페,4.4,"3,986"
컴포스커피수서점,,,
폴바셋수서역점,폴 바셋 수서역점,4.63,71
슈바빙,슈바빙,,40
타이거,타이거,,0
쥬씨수서역점,쥬씨 수서역점,4.39,11
커피;온수서현대벤처빌점,커피온 수서현대벤처빌점,4.38,8
할리스커피수서점,할리스 수서점,4.4,33
모노치즈,모노치즈 종로5가점,4.6,63
공차수서역점,공차 수서역점,4.42,20
빽다방수서역점,빽다방 수서역점,,10
카페리버런랜드,,,
파오리,파오리,,225
쥬스쿨,쥬스쿨,,0
투썸플레이스등촌역점,투썸플레이스 등촌역점,,71
마치커피,마치커피,4.51,71
스페이스코르,스페이스 코르,4.51,157
커피이터니티,커피이터니티 동묘,,82
프리스타일,프리스타일,,95
하,하셰프 파스타 일인분,,0
카페폴라리스,카페폴라리스,,1
브론즈레인,브론즈레인,,38
하무모카,하무모카,,30
에이더블유오,,,
빽다방한강성심,빽다방 한강성심병원점,,4
이디야쌈지공원점,이디야커피 독산동쌈지공원점,4.27,2
카페에어,카페 에어,,0
버키커피,버키커피,,190
슬로카페달팽이,슬로카페달팽이,,113
쉼표,쉼표,4.46,5
카페클로,클로벨리,,144
커피JUN,푸드까페 준,4.5,1
양지다방,양지다방,,25
카페효,,,
오아시스해방촌,오아시스,4.4,117
카페서로,카페서로,,26
에레보,에레보,5,106
펌킨펫하우스서울숲,,,
토기장이집,토기장이 오리&삼겹살 전문점,4.41,"1,155"
옐로연희,옐로연희,,12
아트몬,아트몬,4.54,100
커피빈청계천을지로점,커피빈 청계천을지로점,4.5,23
뭉베이크샵,뭉베이크샵,,8
투썸플레이스영등포,투썸플레이스 영등포역점,,105
달콤커피영등포,달콤.엔 영등포드림점,,9
도몽,도몽,,2
바나프레소잠실,바나프레소 잠실새내점,4.47,49
에피소드성수101,,,
로스커피,로스커피,4.54,30
프로무케이크,프로무케이크,,2
카페코지숙명여대점,,,
클랩커피,클랩커피,,8
커피마마퀸과기대점,커피마마퀸 과기대점,,7
그린페이지,그린페이지,4.86,47
다옴카페,다옴카페,,0
라베이유,라베이유,,9
언더24,언더24,4.45,55
언더투에니포주,,,
커피공급소,커피 공급소,,10
웨슬러카페,웨슬러커피,,11
대광,대광,,15
그래피카,그래피카,,60
카페게이트논현역점,카페게이트 논현역점,,4
몬떼비서울충무로점,몬떼비서울 충무로점,,44
카페쿠잉,카페쿠잉,4.79,4
디카페아날로그,디카페아날로그,4.32,27
아이갓에브리씽강동어울림점,아이갓에브리씽 강동어울림점,,0
강동어울림복지관,,,
버글러커피,버글러커피 아차산,4.95,135
멀티익스프레스커피,멀티익스프레스커피,4.34,5
메가엠지씨커피개봉,,,
누니케이크,누니케이크,,11
매뉴팩트커피,매뉴팩트커피 연희 본점,4.6,"1,150"
무너미,무너미,,863
크레센도,크레센도,4.67,2
커피에반하다스마트카페,커피에반하다 미아사거리점 스마트 무인카페,,7
플라잉디저트,플라잉 디저트,,20
카페051미아사거리역점,카페051 미아사거리역점,4.49,19
씨엠일구공,CM190,,5
혜화동양과자점,,,
부니네다정,,,
제이든커피,제이든오브다라자,,7
빌로우BELOW,빌로우하우스,,0
어브리지커피,어브리지 커피,,6
종로시장,광장시장 찹쌀꽈배기,4.42,"1,652"
더스팟패뷸러스,더 스팟 패뷸러스,4.56,"4,041"
캄웨이브,캄웨이브 카페,,35
데보,대보명가,4.3,736
퍼시브커피,퍼시브 커피,,109
티지커피233,티지커피233,,0
더빈마켓,더빈마켓,4.4,122
땡스오트,땡스오트 안국,4.51,"1,764"
심신프리,심신프리 힐링카페 일산,4.61,73
프로젝트서울신설동점,프로젝트서울 신설동점,,55
커피빈코리아대치,커피빈 테헤란로하이닉스뒷점,4.42,16
에이치카페,에이치 카페,,5
매머드익스프레스이수역점,매머드커피익스프레스 방배카페골목점,,3
디저트39이수역점,디저트39 방배서래점,,39
그문화다방,그문화다방,4.54,429
태키커피,태키커피,,26
카페사흘,카페 사흘,4.59,181
매머드익스프레스신내SK,매머드익스프레스 신내SKV1점,,2
리밀커피,리밀앤밀리,4.74,885
커피플,,,
경이로운커피,경이로운커피 홍대점,,4
꼬메노,꼬메노,4.71,435
뿌리온더플레이트,,,
카페홀리데이,카페 홀리데이,,41
스홀리,스홀리,,17
카페브리틀,카페브리틀,,46
엥겔플랜트,,,
터틀힙,터틀힙 연남,,"2,323"
스마일젤라또,,,
랑꼬뉴,랑꼬뉴,,134
이디야구로,이디야커피 개봉역점,4.54,22
나무새찻집,나무새찻집,4.39,200
리프컵스,리프컵스,,4
커피앤시가렛,커피앤시가렛,4.42,"3,080"
애드주,,,
디저트39거여역점,디저트39 거여역점,,37
클리프노츠,클리프노츠,,232
매머드익스프레스안국역점,매머드익스프레스 안국역점,,7
식스디그리스커피,,,
요니미,요니미,,24
더은,,,
커피부스,커피부스,4.14,8
카페네꼬,CAFE NEKO,,2
초콜릿아일랜드인,,,
아재커피북촌점,아재커피 북촌점 AZE COFFEE,4.64,28
상냥한거북씨,텐더터틀 커피 로스터스,4.49,54
오슬로,오슬로,,4
비앤씨매니아충정점,,,
알커피컴퍼니,알프로젝트컴퍼니,,0
비비커피상일동역점,비비커피 상일동역점,,2
피크니크,피크니크 홍대경의선숲길점,4.6,420
라프하우스,라프하우스,4.91,359
이디야커피시흥유통,이디야커피 시흥유통센터점,4.53,7
씨아이씨,CIC,,4
파스쿠찌청담,파스쿠찌 청담사거리점,4.35,19
인서트,,,
휴커피,휴커피,4.43,6
카페울림,카페울림,4.58,2
가마,가마,,7
에스더블류플레이스,,,
소연,소연,,1
달콤스타온도,달콤스타온도,,0
언니네다락방,언니네다락방,4.49,17
제이에이치대학로무대,,,
매머드익스프레스남산트윈시티,매머드익스프레스 남산트윈시티타워점,,12
투썸플레이스용산트윈시티점,투썸플레이스 용산트윈시티점,4.39,7
파스쿠찌트윈시티,파스쿠찌 트윈시티남산점,4.48,41
만랩커피창동역점,만랩커피 창동역점,4.38,27
매머드익스프레스문래에이스NS,매머드익스프레스 문래에이스NS타워점,,8
커피사피엔스문래NS,커피사피엔스 문래NS타워점,,37
블루닷에프엔씨,,,
매머드익스프레스경희대점,매머드커피 경희대점,4.49,17
힘내개커피,힘내개 커피,4.42,8
디저트39신대방삼거리역점,디저트39 대방역점,,14
문할로커피,MHCR,4.79,48
인케이,,,
에스앤에프네트웍스,,,
카페어거스트,카페어거스트,,1
꿈꾸는리틀피플,리틀언니 디저트카페,,9
투썸플레이스중계은행,투썸플레이스 중계은행사거리점,4.32,49
포트캔커피노원은행,포트캔커피 노원은행사거리점,4.5,8
더리터,더리터 중랑역점,,10
베스코,커피베스코 노원점,4.4,516
와플.수플레그리고커피,,,
가비엔누리코람코점,가비엔누리 코람코점,,0
헤븐몰,헤븐몰,4.57,37
지쓰리카페미뇽,,,
카페미뇽,카페 미뇽 성신여대점,,78
미스터빈,미스터빈,,11
민트모리,민트모리,4.42,10
오후,오후,,"1,467"
더블유블라썸,,,
