query,found_name,score,reviewCount
바나타이거,바나타이거 을지로힐스테이트점,,8
오카보카커피,오카보카,,23
더앨리,더앨리 일산식사점,,41
텐티북스,텐티북스 & 카페,4.23,96
아비삭베이글,아비삭베이글,,12
필링커피,필링커피,,20
카페달,카페달,,3
탐앤탐스사가정역점,탐앤탐스 사가정역점,4.21,20
하삼동금호역점,,,
인터내셔널티컴퍼니,,,
슬라브,슬라브,4.94,110
별와플,별와플,,2
더그린,더그린,,78
카페글락,,,
커피빈이태원점,커피빈 이태원제일기획옆점,4.46,29
자작나무,자작나무,4.35,9
브로커피앤쥬스,브로커피앤쥬스,4.38,2
돌상cafe돌상카페,카페무이,,3
꼴라보하우스도산,,,
와다당,,,
타미,타미,,8
투썸플레이스,투썸플레이스 정릉중앙점,,7
오랑오랑,오랑오랑,4.47,757
로스티드바이,로스티드바이 금천점,4.83,24
마피아백다방,,,
별다방,별다방,4.09,6
이트커피,이트커피,4.32,1
비바라비다,비바라비다,4.86,15
카페달콤한오늘,카페달콤한오늘,4.66,4
그라미,그라미 성신여대점,,15
예설스페이스,예설스페이스,4.2,12
하나원컴퍼니,,,
할루카연구소,할루카연구소,4.5,5
아리스타충무로점,아리스타커피 충무로점,4.35,34
오살랑마켓,,,
오늘의커피,오늘의커피,4.88,32
라온,라온,4.85,225
메가엠지씨커피구로고척,,,
한국영파머스클럽,한국영파머스클럽 로컬푸드&카페,,19
차차티클럽,북촌라운지 차차티클럽,,153
카페너와,카페너와,,8
리프커피바,리프커피바,4.62,"1,058"
홍콩다방중랑,홍콩다방 중랑구청점,,20
빽다방중랑,빽다방 상봉역점,4.58,26
바리스타폴커피칸타타,바리스타폴 커피칸타타,4.4,55
커피베이중랑,커피베이 면목역점,4.49,26
공차중랑,공차 먹골역점,,28
향기나는굴뚝,향기나는굴뚝,,1
커피바102,커피바102,,17
피프틴커피,피프틴커피(15 coffee),,2
카페소소,카페소소,,16
구하니커피,,,
이디야커피오금,이디야커피 오금중앙점,4.31,6
자몽자몽,자몽밀크티,,0
매머드익스프레스보라매공원점,매머드익스프레스 신대방삼거리역점,,10
카페,포틀리에,,57
칼도에스프레소바,칼도에스프레소바 마곡나루점,,9
마리크루아상,마리 크루아상,,247
그로비,그로비,5,243
체크커피,체크커피,4.53,24
피컨트,피컨트 커피로스터즈,4.72,25
소적두,소적두 성수점,,47
수요일,수요일,4.33,214
카페코르안암점,카페코르 안암점,,6
메종인디아트래블앤북스,,,
이알커피연희,,,
채one,채one,4.38,0
석커피숍,COPICON 석장점,4.25,1
빽다방개봉역,빽다방 개봉역점,4.39,11
커피더주다,커피더주다,,1
오늘의당도,오늘의 당도,,4
델링유,,,
리프레셔스,리프레셔스,4.65,358
크로플로신당점,크로플로 신당점,,3
풀떼기,풀떼기,,25
타자기,카페타자기,4.5,644
오즈커피&맥주,오즈커피&맥주,,1
