상가업소번호,상호명,지점명,TRDAR_CD,TRDAR_CD_N,도로명주소,위도,경도,지번주소,신우편번호
MA010120220803190551,빽다방종로관철점,,3120006,종각역,서울특별시 종로구 종로10길 21,37.5689965198931,126.984537719296,서울특별시 종로구 관철동 42-4,3189
MA0101202212A0049734,메머드익스프레스교대,후문점,3120173,교대역(법원.검찰청),서울특별시 서초구 서초대로54길 33,37.492762662807,127.016419028404,서울특별시 서초구 서초동 1666-1,6633
MA0101202411A0024288,라루라루2,,3110671,등촌1동주민센터,서울특별시 강서구 공항대로53길 16,37.5541470985057,126.85991648642,서울특별시 강서구 등촌동 644-44,7570
MA0101202309A0009020,컴포즈커피창동어울림점,,3110409,창동역 2번,서울특별시 도봉구 해등로16길 26,37.6556293334018,127.04148836968,서울특별시 도봉구 창동 296-1,1402
MA010120220804466751,카페무라노,,3120187,신논현역,서울특별시 강남구 강남대로110길 21,37.5038972222138,127.026713156736,서울특별시 강남구 역삼동 601-30,6123
MA0101202307A0030146,카페잡화점,,3110740,금천해태공원,서울특별시 금천구 시흥대로 278-5,37.4588521365837,126.899529755152,서울특별시 금천구 독산동 1077-5,8623
MA0101202406A0329289,미식,,3111024,경찰병원역 4번(건너말공원),서울특별시 송파구 중대로12길 38,37.4917514550269,127.125153801156,서울특별시 송파구 가락동 119-11,5832
MA010120220806862832,스크렘,,3120187,신논현역,서울특별시 강남구 봉은사로4길 17,37.503726087182,127.026464286238,서울특별시 강남구 역삼동 811,6123
MA010120220805260228,지소현Roaster's커피,,3120109,서울남부지방법원,서울특별시 양천구 중앙로32길 61,37.5200807486049,126.860296933544,서울특별시 양천구 신정동 1021-9,8087
MA0101202303A0088593,삼월;열하루,,3110243,중랑노인종합복지관,서울특별시 중랑구 겸재로 99,37.5866397255741,127.078801508569,서울특별시 중랑구 면목동 176-78,2135
MA010120220802587625,메가엠지씨커피중계씨앤미점,,3120083,등나무근린공원,서울특별시 노원구 동일로204가길 34,37.6407507053019,127.068174191982,서울특별시 노원구 중계동 509-1,1783
MA010120220804361452,이디야,,3120083,등나무근린공원,서울특별시 노원구 동일로204가길 34,37.6407507053019,127.068174191982,서울특별시 노원구 중계동 509-1,1783
MA0101202411A0027673,빽다방중계씨앤미점,,3120083,등나무근린공원,서울특별시 노원구 동일로204가길 34,37.6407507053019,127.068174191982,서울특별시 노원구 중계동 509-1,1783
MA010120220806539843,사라다방,,3110205,경희대삼거리,서울특별시 동대문구 회기로 149-3,37.5915103665051,127.053251100862,서울특별시 동대문구 회기동 45-78,2453
MA0101202306A0076281,빽다방상계백,병원점,3120082,상계백병원,서울특별시 노원구 동일로 1354,37.6495565942446,127.062244482547,서울특별시 노원구 상계동 749-6,1756
MA010120220808994298,커몬드,,3120049,왕십리역(왕십리),서울특별시 성동구 마조로1길 39,37.5609451194297,127.039228767527,서울특별시 성동구 행당동 168-78,4760
MA0101202411A0130442,호디스,,3120049,왕십리역(왕십리),서울특별시 성동구 마조로1길 39,37.5609451194297,127.039228767527,서울특별시 성동구 행당동 168-78,4760
MA0101202411A0006054,유히,,3120104,연남동(홍대),서울특별시 마포구 연남로3길 40,37.5606275887356,126.920569444651,서울특별시 마포구 연남동 562-37,3987
