상호명,지점명,TRDAR_CD,TRDAR_CD_N,지번주소,도로명주소,층정보,경도,위도,지하철_거리(m),지하철_역명,지하철_호선,버스_거리(m),버스정류장명
논현커피,,3110063,효창공원앞역 5번,서울특별시 용산구 용문동 5-91,서울특별시 용산구 백범로74길 40,1,126.961710878333,37.5383573960102,107,효창공원앞,6,74,효창공원앞역.이봉창역사울림관
카페드리아,,3120055,군자역,서울특별시 광진구 중곡동 157-17,서울특별시 광진구 천호대로109길 9,1,127.080785236071,37.5573920908339,113,군자,5,141,군자역.용마초등학교(중)
파이하우스,,3120212,한티역,서울특별시 강남구 대치동 935-28,서울특별시 강남구 선릉로62길 29,1,127.054903521137,37.4979678750484,764,도곡,3,154,한티역2번출구.서울강남고용노동지청
카페로쏘,,3120164,내방역,서울특별시 서초구 방배동 876-41,서울특별시 서초구 방배로26길 22,1,126.994086256253,37.4893037869592,191,내방,7,173,내방역1번출구
굿푸드앤카페,,3110989,대치동아우편취급국,서울특별시 강남구 대치동 901-52,서울특별시 강남구 삼성로81길 29,,127.055247141988,37.5038873234456,625,선릉,2,246,포스코빌딩
카페테드,,3110562,연트럴파크(연남동주민센터),서울특별시 마포구 연남동 256-8,서울특별시 마포구 성미산로32길 51,지,126.922604514013,37.5627462820303,673,홍대입구,2,411,연희104고지앞.구성산회관
커피브루,,3110259,사가정역 1번,서울특별시 중랑구 면목동 572-19,서울특별시 중랑구 면목로51길 13,1,127.087051239496,37.5831651072992,281,사가정,7,284,사가정역
홈카페24장안,2호점,3110230,장안현대홈타운1차아파트,서울특별시 동대문구 장안동 339-8,서울특별시 동대문구 장한로26다길 87,1,127.071752471615,37.5678404735171,951,장한평,5,526,중곡아파트
씨와이SEEWHY,,3120200,학동사거리,서울특별시 강남구 신사동 652-7,서울특별시 강남구 도산대로49길 10-6,3,127.0378970116,37.5237162509137,783,강남구청,7,77,씨네시티앞
사뜨바,,3120200,학동사거리,서울특별시 강남구 신사동 652-7,서울특별시 강남구 도산대로49길 10-6,1,127.0378970116,37.5237162509137,783,강남구청,7,77,씨네시티앞
