기준_년분기_코드,상권_코드,상권_코드_명,평균_평일_유동인구_수,평균_주말_유동인구_수,평일_대비_주말_유동인구_비율
20244,3110564,홍대입구역 3번,122211.0,147164.0,1.2041796564957328
20244,3110565,홍익대,61467.6,60656.0,0.9867962959347688
20244,3110566,경의선책거리,201326.2,226797.5,1.1265175620460723
20244,3110567,광흥창역 6번,42595.4,45596.0,1.0704442263718617
20244,3110568,광흥창역 1번,55362.6,53682.0,0.9696437667306088
20244,3110569,홍대땡땡거리,123021.8,131133.5,1.0659370940760091
20244,3110570,KB국민은행 서강지점,30950.6,30207.0,0.97597461761646
20244,3110571,신수동주민센터,67361.6,71306.5,1.0585630388826868
20244,3110572,서강대역 1번,305498.4,294702.0,0.9646597167121006
20244,3110573,신촌역 6번,15560.0,13527.0,0.8693444730077121
20244,3110575,대흥동주민센터,127076.6,127931.5,1.006727438411163
20244,3110586,서울서부지방법원,282639.4,282712.0,1.000256864400363
20244,3110576,대흥역 3번,112763.0,100970.0,0.8954178232221562
20244,3110577,용강동주민센터,70768.4,73691.5,1.0413051587996904
20244,3110578,대흥역 2번,362457.8,340643.0,0.9398142349261072
20244,3110579,마포역 4번,53024.4,56337.0,1.0624731255799216
20244,3110580,양원초등학교,95707.2,94309.0,0.985390858785964
20244,3110581,염리초등학교,19611.4,14426.5,0.7356180588841184
20244,3110582,이대역 5번,68601.6,70057.5,1.0212225370836832
20244,3110583,공덕래미안3차아파트,57587.8,38419.5,0.6671465136712984
20244,3110584,아현역 4번,13562.8,13438.5,0.9908352257645916
20244,3110585,마포경찰서,16448.0,15429.5,0.9380775778210116
20244,3110511,연희초등학교,155535.8,151771.5,0.9757978548990008
20244,3110510,홍연시장,116904.0,126215.0,1.0796465475946075
20244,3110509,연희대우아파트앞,125146.6,138486.0,1.106590191023967
20244,3110445,덕산중학교,67520.4,77012.0,1.140573811766518
20244,3110435,서울과학기술대,18450.8,16789.0,0.9099334446202876
20244,3110436,상계제일중학교,75258.6,77944.5,1.0356889445192974
20244,3110437,당고개역 2번,208337.2,232741.5,1.1171384659100727
20244,3110438,경춘선숲길 우측,227054.4,241452.0,1.063410354522969
20244,3110439,당고개역 5번,122398.6,130209.5,1.0638152723969063
20244,3110440,상계3동4동주민센터,30573.0,32182.5,1.052644490236483
20244,3110441,영신여고,87004.8,96839.0,1.113030545441171
20244,3110442,화랑대철도공원,17135.0,19885.5,1.1605194047271663
20244,3110443,수색역 1번,33201.6,35721.5,1.0758969447255555
20244,3110444,수색성당,27368.4,29278.5,1.0697921690708991
20244,3110446,내를건너서숲으로도서관,16692.4,16342.5,0.9790383647648032
20244,3110433,공릉역 2번,197451.2,205323.5,1.0398695981589374
20244,3110447,구산초등학교,47715.6,52295.5,1.095983284292768
20244,3110448,상신초등학교입구,45596.6,51747.0,1.1348872503651588
20244,3110449,증산역 3번,146491.8,148832.0,1.015974955594784
20244,3110450,시립서북병원,257303.8,271328.5,1.054506385059218
20244,3110451,증산역 4번,98225.4,103143.0,1.050064443616417
20244,3110452,새절역 3번,97084.0,103224.0,1.0632442008981913
20244,3110453,신사1동주민센터,122819.4,131333.5,1.069322110350645
20244,3110454,선정중학교,187673.2,192805.0,1.027344341120629
20244,3110455,역촌노인복지관,212498.8,223534.0,1.0519306461965905
20244,3110456,구산보건지소,217408.0,231800.0,1.0661981159846925
20244,3110434,태릉입구역 4번,67900.8,71686.0,1.0557460295018617
20244,3110432,대진고등학교,46626.6,44949.0,0.964020537633025
20244,3110508,서연중학교,108142.0,111974.5,1.0354395147121378
20244,3110419,수락산디자인거리,108364.4,120365.0,1.110743011542536
20244,3110409,창동역 2번,73698.6,84908.0,1.1520978688876042
20244,3110410,방학역 2번,83529.8,84621.0,1.0130636012536842
20244,3110411,도봉역 3번,94098.6,96819.5,1.02891541425696
20244,3110412,창동중학교,20582.0,21061.5,1.02329705567972
20244,3110413,누원고등학교,11715.0,12522.5,1.0689287238583014
20244,3110414,장석교회,23520.0,25284.0,1.075
20244,3110415,수락산역 4번,257269.2,290058.5,1.1274513233608998
20244,3110416,노원초등학교,120207.4,132439.0,1.1017541349367843
20244,3110417,월계역 3번,51853.4,50309.5,0.97022567469057
20244,3110418,광운대학교 남단,142634.4,115716.0,0.8112769430095406
20244,3110420,광운대역 1번,67483.2,64353.0,0.9536151219859166
20244,3110431,상계역,70099.6,80905.5,1.15415066562434
20244,3110421,석계역 1번,53302.8,56377.5,1.057683648888989
20244,3110422,노원역 9번,115353.4,122902.0,1.0654389034046678
20244,3110423,석계역 2번,40296.0,43465.5,1.078655449672424
20244,3110424,상계초등학교,320842.0,338359.5,1.0545985251307497
20244,3110425,계상초등학교,85096.0,96539.0,1.134471655541976
20244,3110426,상계2동주민센터,214147.4,248662.5,1.1611744994335678
20244,3110427,노원 을지대학교병원,13219.2,12502.0,0.9457455821834906
20244,3110428,상계5동주민센터,465995.8,499631.0,1.0721791913146
20244,3110429,공릉동 국수거리,261617.0,264648.5,1.0115875497387403
20244,3110430,중계초등학교,12608.0,12325.5,0.9775935913705583
20244,3110457,예일여고,110298.6,109740.0,0.9949355658186052
20244,3110458,선일여고,107240.8,101888.0,0.9500861612371412
20244,3110459,응암역 2번,183651.0,199083.0,1.0840289462077528
20244,3110496,모래내우체국,126099.8,132629.5,1.0517820012402874
20244,3110486,은평구청,85115.0,78074.0,0.9172766257416436
20244,3110487,불광역 8번,22996.0,24503.0,1.0655331361975997
20244,3110488,우리은행응암동지점,46446.4,49628.5,1.068511230149161
20244,3110489,불광역 3번,63390.0,63867.5,1.0075327338696956
20244,3110490,녹번동근린공원,71346.2,72265.0,1.0128780509683768
20244,3110491,불광중학교,13621.8,14466.0,1.0619741884332468
20244,3110492,하나고등학교,1896.4,2059.5,1.0860050622231596
20244,3110493,북가좌초등학교,37339.2,39817.5,1.0663726057333849
20244,3110494,증산3교남측,31331.6,33147.5,1.0579574614765923
20244,3110495,북가좌2동주민센터,160558.4,172058.5,1.0716256514763476
20244,3110497,가좌역 3번,11161.2,12344.5,1.1060190660502454
20244,3110460,구산역 4번,191713.8,207502.5,1.0823555737771615
20244,3110498,증산역 1번,284179.8,305652.0,1.0755585020469436
20244,3110499,연가초등학교,264464.2,271059.0,1.0249364564277508
20244,3110500,남가좌동현대아파트,28378.8,33150.5,1.1681431209212512
20244,3110501,연희어린이공원,33289.4,35729.0,1.0732845890884184
20244,3110502,남가좌파출소,254195.0,269510.0,1.0602490214205629
20244,3110503,명지대학교교회,245058.2,226363.0,0.923711183710645
20244,3110504,명지전문대,15891.8,15314.5,0.9636730892661624
20244,3110505,홍남교남측,3499.8,4044.5,1.155637464998
20244,3110506,연희임광아파트,30006.0,32650.5,1.088132373525295
20244,3110507,명지대학교,236604.4,224907.0,0.9505613589603574
20244,3110485,연신내우체국,50317.6,49298.5,0.9797466492837495
20244,3110484,역촌역 3번,175445.6,190905.0,1.088115062446707
20244,3110483,연천초등학교,87403.2,89987.5,1.0295675673201896
20244,3110482,연신초등학교,42684.6,41546.5,0.9733369880472116
20244,3110461,새절역 2번,35652.2,34986.0,0.9813139161117688
20244,3110462,갈현건영아파트,111081.2,122019.0,1.0984667072375884
20244,3110463,응암3동주민센터,106120.4,107606.5,1.0140039049984737
20244,3110464,연신내역 5번,79499.6,84242.5,1.059659419670036
20244,3110465,연신내역 7번,171836.8,175166.0,1.0193741969124193
20244,3110466,구산역 2번,131299.8,140757.5,1.0720313359197806
20244,3110467,은평요양병원,36623.4,40499.0,1.1058230530207462
20244,3110468,응암역 3번,335639.8,368300.5,1.097308781616483
20244,3110469,응암정보도서관,186699.0,193577.0,1.0368400473489414
20244,3110470,신진과학기술고등학교,105575.8,113500.5,1.0750617092174533
20244,3110471,응암동우체국,185484.4,193147.0,1.041311290868666
20244,3110472,연신내역 4번,205583.6,218699.5,1.0637983769133337
20244,3110473,구산역 1번,247684.0,256127.5,1.0340898079811374
20244,3110474,세명컴퓨터고등학교,128094.6,137016.0,1.0696469640406387
20244,3110475,백련산해모로아파트,58548.8,64232.5,1.0970762850818463
20244,3110476,역촌역 2번,17812.8,18594.0,1.043856103476152
20244,3110477,은평세무서,56419.6,58479.5,1.0365103616473708
20244,3110478,응암1동주민센터,45394.6,47816.5,1.0533521608297025
20244,3110479,연신내역 2번,173243.8,184963.0,1.0676457108421773
20244,3110480,연신내역 3번,35067.8,38414.5,1.0954351285224622
20244,3110481,불광역 7번,529329.6,542861.0,1.0255632785319393
20244,3110612,신정역 5번,292150.2,306133.0,1.0478616821073543
20244,3110613,신정네거리역 4번,32541.2,34586.5,1.0628526298968692
20244,3110614,목동로데오거리,72025.0,75400.0,1.0468587296077752
20244,3110755,동일여자고등학교,35906.2,35818.0,0.9975435997125844
20244,3110745,독산동정훈단지,54158.2,60897.0,1.1244280644482276
20244,3110746,금천금빛공원(은행나무사거리서측),26997.4,29476.5,1.0918273611532965
20244,3110747,석수역 1번 출입구,20618.8,21424.5,1.039075988903331
20244,3110748,백산초등학교,58224.4,58442.0,1.0037372647893323
20244,3110749,금산초등학교(금천고등학교),75881.0,74343.0,0.9797314215679814
20244,3110750,시흥4동주민센터(서울신흥초등학교),95046.2,104262.5,1.0969665278569791
20244,3110751,난곡중학교,148691.6,155948.0,1.048801680794342
20244,3110752,한울중학교,103615.8,114794.5,1.1078860559876005
20244,3110753,시흥동 은행나무사거리,131585.4,143486.0,1.0904401248162792
20244,3110754,삼성산자연공원(서울금천초등학교),179088.8,181595.5,1.0139969668678332
20244,3110756,문래중학교,38930.6,36675.0,0.942061000857937
20244,3110743,시흥초등학교(시흥1동우체국),115104.2,124399.0,1.0807511802349523
20244,3110757,양평역 2번,33402.0,28377.5,0.8495748757559427
20244,3110758,문래소공원,47517.0,40722.0,0.8569985478881242
20244,3110759,문래예술촌(문래창작촌),508329.0,478205.0,0.9407391669568332
20244,3110760,선유도역 6번,114110.6,77540.5,0.6795205703939862
20244,3110761,문래동남성맨션,25462.4,27053.5,1.062488217921327
20244,3110762,선유도역 1번,256083.4,233929.0,0.9134875591311268
20244,3110763,영등포구청역 2번,80227.6,67759.5,0.8445908889210196
20244,3110764,문래역 3번,10880.8,7928.5,0.7286688478788325
20244,3110765,문래동사거리,44878.4,46985.5,1.0469513173375165
20244,3110766,대림역 5번,171899.0,182261.5,1.0602824914630102
20244,3110744,독산동성당,236086.0,256444.5,1.0862334064705237
20244,3110742,KT금천빌딩(금천구시설관리공단),10253.4,9327.5,0.9096982464353288
20244,3110717,남구로역 2번,407749.8,383203.5,0.939800583593174
20244,3110729,가산동우체국,98329.6,104944.5,1.0672727235745898
20244,3110719,영서중학교,46647.4,29652.5,0.6356731564888932
20244,3110720,대림역 2번,118817.8,127250.5,1.070971689427005
20244,3110721,가리봉파출소,162425.4,147389.0,0.9074258090175552
20244,3110722,G타워,52543.6,42409.0,0.8071201820963924
20244,3110723,가산디지털단지역 1번 출입구,47710.8,33872.5,0.70995455955465
20244,3110724,금천구립가산도서관,84262.0,90844.0,1.0781135031212172
20244,3110725,가산동주민센터,37659.0,31925.0,0.8477389203112138
20244,3110726,금천철쭉어린이공원(금하마을),40321.4,43717.5,1.0842257461298466
20244,3110727,독산역 1번 출입구,72741.2,74103.0,1.0187211648969223
20244,3110728,두산초등학교,30323.4,28054.0,0.925160107375822
20244,3110730,서울축산농협 독산역지점(독산파출소),82690.8,84767.0,1.0251079926666569
20244,3110741,독산2동주민센터,23158.4,24719.0,1.067388075169269
20244,3110731,금천구청역 1번 출입구,50570.8,48791.0,0.9648057772469488
20244,3110732,가산초등학교(세일중학교),73459.0,75276.5,1.0247416926448767
20244,3110733,금천어울림복지센터,38402.0,36863.0,0.9599239622936304
20244,3110734,금천파출소,4939.6,5478.0,1.1089966798931086
20244,3110735,말미고개,146258.0,159299.5,1.0891677720193085
20244,3110736,독산119안전센터,116872.0,127103.5,1.087544493120679
20244,3110737,금천세무서,102108.4,103728.5,1.0158664713187162
20244,3110738,문성초등학교,88722.8,96633.0,1.089156338618709
20244,3110739,시흥3동 우편취급국,3462.6,2902.0,0.8380985386703633
20244,3110740,금천해태공원,196729.0,209307.0,1.0639356678476484
20244,3110767,도림동주민센터,32166.0,35161.5,1.093126282409998
20244,3110768,도림2동유수지내체육시설,35511.0,40105.0,1.129368364732055
20244,3110769,대림차이나타운(대림역 12번),80951.2,91086.5,1.1252025911907422
20244,3110806,서울시립영등포장애인복지관,4520.8,3020.5,0.6681339585913997
20244,3110796,한림대학교한강성심병원,15475.6,16649.5,1.0758548941559616
20244,3110797,KT대방빌딩,46828.2,49878.5,1.065138100546252
20244,3110798,신풍역 2번,21537.0,21491.0,0.9978641407809816
20244,3110799,영등포본동주민센터,20702.2,24273.5,1.1725082358396692
20244,3110800,영등포동성당,22949.8,20523.0,0.8942561590950684
20244,3110801,신풍역 6번(신길6동공영주차장),4807.6,5253.5,1.092748980780431
20244,3110802,신길동홍어거리,78855.8,76503.5,0.970169600714215
20244,3110803,신길2동우편취급국,180047.8,194687.0,1.0813072972843878
20244,3110804,신풍역 1번,150599.2,165181.5,1.096828535609751
20244,3110805,신길새마을금고신길4동지점,34765.8,39878.0,1.1470468103711118
20244,3110807,신길역 3번,66444.8,69984.5,1.053272791851281
20244,3110770,영등포구청역 6번,114183.6,118030.5,1.033690477441594
20244,3110808,신길역 1번,75499.8,77624.5,1.0281417964021096
20244,3110809,장훈고등학교,59898.4,57650.5,0.9624714516581412
20244,3110810,영신초등학교,221240.0,228032.0,1.030699692641475
20244,3110811,보라매역 4번,80667.0,78994.5,0.979266614600766
20244,3110812,신길6동주민센터,77870.0,80961.0,1.03969436239887
20244,3110813,보라매역 6번,214365.2,196005.5,0.914353169264414
20244,3110814,서울지방병무청,179058.0,196545.0,1.0976610930536477
20244,3110815,공군호텔,178090.6,184763.5,1.037469130880574
20244,3110816,대방역 6번,118310.2,115034.0,0.9723083893020212
20244,3110817,대방역 4번,51759.0,51443.0,0.9938947815838792
20244,3110795,도림초등학교,146247.2,153566.0,1.050044035031098
20244,3110794,영동초등학교,143545.0,145956.5,1.016799609878435
20244,3110793,대림썬프라자,4511.6,5122.5,1.1354065076691195
20244,3110792,영등포역 2번,255395.0,296801.0,1.1621253352649816
20244,3110771,대림역 11번,47831.0,55048.5,1.1508958625159416
20244,3110772,신우어린이공원,49377.8,53461.0,1.0826930320913446
20244,3110773,당산역 13번,11762.2,10000.5,0.8502235976262944
20244,3110774,당산반도유보라팰리스아파트,83012.0,85625.5,1.0314833999903628
20244,3110775,대동초등학교,25057.0,27236.5,1.0869816817655744
20244,3110776,도신초등학교,96577.4,102653.0,1.062909127808369
20244,3110777,구로세무서,47118.2,35105.5,0.745051805883926
20244,3110778,구로디지털단지역 4번,161124.8,176418.5,1.0949183490064844
20244,3110779,대림갑을명가아파트,16953.6,18368.5,1.083457200830502
20244,3110780,신길대성유니드아파트,45271.0,45396.0,1.002761149521769
20244,3110781,대림한신아파트,174647.4,197323.5,1.1298393219710114
20244,3110782,영등포시장역 4번,28220.8,29019.5,1.0283018199342329
20244,3110783,영등포시장역 1번,32627.4,22064.5,0.6762567657858118
20244,3110784,신대림초등학교,25025.2,27796.0,1.110720393843006
20244,3110785,영등포푸르지오아파트,163237.6,186077.0,1.139915068587139
20244,3110786,당산역 8번,69448.0,66679.5,0.960135641055178
20244,3110787,신길3동주민센터,240108.0,276782.0,1.1527396005131023
20244,3110788,영등포시장역 3번,15967.0,15495.0,0.9704390305004073
20244,3110789,대림성모병원,72719.6,78938.5,1.0855188972436591
20244,3110790,대림1동주민센터,71253.0,77605.0,1.0891471236298822
20244,3110791,신풍역 3번,16896.6,18144.0,1.0738255033557047
20244,3110718,한국SGI본부,152189.8,155247.5,1.0200913596049144
20244,3110716,구로나눔길,55001.0,59363.5,1.0793167396956418
20244,3110615,신서초등학교,41130.4,38836.0,0.9442164433120028
20244,3110652,양천향교역 2번,53417.8,50776.0,0.9505445750292972
20244,3110642,정곡초등학교,2235.2,2932.5,1.311963135289907
20244,3110643,강서구다솔마을,75238.8,75154.0,0.998872921949845
20244,3110644,신광명마을,12222.0,11207.0,0.9169530355097364
20244,3110645,우장산역 4번,192977.2,178196.5,0.923407013885578
20244,3110646,푸른들청소년도서관,235533.0,251439.0,1.0675319381997428
20244,3110647,화곡역 5번,333476.6,349080.0,1.0467900896194815
20244,3110648,양천향교역 7번,21117.4,13127.5,0.6216437629632435
20244,3110649,우장산역 1번,145154.8,143135.5,0.9860886446745132
20244,3110650,우장산힐스테이트,9580.6,9693.0,1.0117320418345406
20244,3110651,화원중학교,67304.4,72250.0,1.073481079988827
20244,3110653,화곡역 2번,161088.8,171261.0,1.0631465378102016
20244,3110640,방화역 1번,58388.4,63885.0,1.0941385617691184
20244,3110654,까치산역 4번,373993.0,405216.5,1.0834868567058742
