"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","총_유동인구_수","남성_유동인구_수","여성_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","시간대_00_06_유동인구_수","시간대_06_11_유동인구_수","시간대_11_14_유동인구_수","시간대_14_17_유동인구_수","시간대_17_21_유동인구_수","시간대_21_24_유동인구_수","월요일_유동인구_수","화요일_유동인구_수","수요일_유동인구_수","목요일_유동인구_수","금요일_유동인구_수","토요일_유동인구_수","일요일_유동인구_수"
"20203","A","골목상권","3111041","거여역 8번","106757","49992","56766","17107","13352","15289","16763","17498","26748","29986","22101","11988","11728","16414","14541","15354","15569","15492","15483","15448","14867","14544"
"20203","A","골목상권","3111040","거여초등학교","679855","322317","357538","101799","84191","102213","109543","118826","163282","208485","151205","69050","66562","94236","90318","96443","95849","96338","96087","95100","97324","102713"
"20203","A","골목상권","3111039","벌말어린이공원","1050507","493657","556851","169430","126631","156959","162772","178171","256545","312064","220566","115757","109875","156761","135486","148725","147393","148264","148558","147529","150993","159047"
"20203","A","골목상권","3111038","보인중학교","412892","191527","221364","77734","51559","55362","63328","65990","98920","114373","85351","49230","48541","63948","51448","60047","60176","60434","59325","59369","56622","56918"
"20203","A","골목상권","3111037","Sh수협은행 오금동금융센터(아랫말어린이공원)","248008","116352","131655","54835","24283","34807","40834","40023","53225","62930","51331","30864","30793","41537","30552","35282","35046","35136","35468","35272","35732","36072"
"20203","A","골목상권","3111036","투구봉어린이공원","362051","166497","195553","78726","39961","48730","53694","56744","84197","99552","74706","41701","40694","58256","47141","51108","50630","51404","51010","50627","53002","54271"
"20203","A","골목상권","3111035","오금공원(오주중학교)","761898","348335","413563","127417","88131","106317","123725","128605","187703","254610","165708","74394","66979","98063","102143","109387","105531","106839","106407","104642","111936","117155"
"20203","A","골목상권","3111034","오동나무공원(송파레미니스1단지)","818555","384937","433618","167638","93234","112371","136243","141623","167447","225915","166995","93874","91353","133026","107393","116512","114983","114696","115834","114617","119014","122900"
"20203","A","골목상권","3111033","문정동성당","105705","48630","57072","23122","12184","15762","15558","16461","22617","28124","22607","12501","12249","17115","13109","14795","14669","14666","14688","14548","15780","16561"
"20203","A","골목상권","3111032","방이역 1번","504951","229537","275414","101494","59099","62741","75536","76965","129117","88408","100016","73013","77482","107198","58831","72626","72655","72181","72777","72559","72104","70049"
"20203","A","골목상권","3111031","장지동주민센터(한림연예예술고교)","689497","309112","380386","153367","88818","114927","103500","101758","127128","194201","145534","79285","76239","104539","89697","99606","98695","98667","98884","97489","95826","100330"
"20203","A","골목상권","3111030","방이역 2번","788938","362181","426759","147332","100017","97807","112839","126266","204679","201848","163914","96091","93821","132557","100709","110584","110675","110263","110552","108797","115848","122221"
"20203","A","골목상권","3111029","오금역 4번","218397","101393","117005","43358","28185","33339","36152","32439","44924","42245","45327","31680","32161","41571","25413","31957","32110","31685","32271","31705","29638","29030"
"20203","A","골목상권","3111028","문현중학교(장지역 1번)","592428","284151","308277","93086","90582","117910","95479","87660","107709","118016","121527","82636","85128","114345","70774","85632","85247","85540","85601","86012","82908","81488"
"20203","A","골목상권","3111027","문정초등학교","1390508","652041","738466","218055","218520","249759","216428","206257","281489","415464","286980","148061","140625","208420","190959","200232","198729","197253","197768","196499","197622","202403"
"20203","A","골목상권","3111026","문정역 2번","1059778","500955","558823","173566","160232","227086","176879","152050","169964","310322","226447","120944","113257","153206","135599","153859","154482","152351","152399","151674","146797","148216"
"20203","A","골목상권","3111025","경찰병원역 3번","679634","311387","368246","88940","98761","135215","107921","101308","147489","154902","143010","88544","89226","120120","83831","97967","96897","98034","97710","97249","95706","96073"
"20203","A","골목상권","3111024","경찰병원역 4번(건너말공원)","327651","157739","169912","40920","53229","63041","53038","51529","65896","62447","70269","48662","49621","60179","36475","48740","48256","47806","48589","48386","43248","42626"
"20203","A","골목상권","3111023","문정역 1번","759339","384155","375185","87633","134258","167156","122007","106996","141292","193146","163177","101287","98519","116182","87031","114189","115560","114439","115052","114200","94605","91297"
"20203","A","골목상권","3111022","석촌중학교(방이육교)","521349","244871","276479","92547","70841","80574","81464","87547","108378","130134","110023","66262","65154","86008","63768","74801","74241","74205","74992","73770","74142","75198"
"20203","A","골목상권","3111021","방이역 4번","2406728","1164204","1242525","560711","306315","356268","384180","337553","461702","543224","454381","301724","321752","477009","308637","345005","348536","344523","346599","345436","342899","333732"
"20203","A","골목상권","3111020","방이동고분군(방산고등학교)","135969","61524","74444","32344","15105","16660","21128","21825","28906","32174","27348","19379","19447","23115","14507","19731","19821","19801","19747","19472","19305","18093"
"20203","A","골목상권","3111019","한성백제역 3번","1641812","758311","883502","289632","228369","294381","260969","212573","355889","510745","345924","166558","158647","238805","221133","235273","234145","234630","234286","233417","234672","235389"
"20203","A","골목상권","3111018","풍납초등학교(풍납백제문화공원)","242216","112564","129654","39328","26292","36920","37924","40242","61510","79770","50646","22979","22264","33261","33298","33753","33758","33787","34159","34179","35799","36781"
"20203","A","골목상권","3111017","송파나루역 3번","304880","141299","163581","44812","46887","59626","48780","42932","61840","81830","60938","33999","34198","50955","42957","43764","43743","43748","43730","43665","43087","43144"
"20203","A","골목상권","3111016","송파역 2번","884580","390671","493909","183739","119990","136754","125005","129571","189525","236557","192633","108828","101940","134344","110279","128736","128997","126716","127966","127159","122171","122837"
"20203","A","골목상권","3111015","석촌역 3번","1905927","838980","1066947","308312","319853","394793","280752","253805","348410","529737","400944","216598","212398","298348","247902","272756","269769","270300","270363","269022","275473","278243"
"20203","A","골목상권","3111014","송파나루역 2번","528641","261229","267412","46696","101770","121246","84674","72068","102188","164349","104984","52833","49791","79884","76799","74843","75940","75649","75838","76811","76011","73551"
"20203","A","골목상권","3111013","송파나루역 1번(송리단길)","2213064","990551","1222513","257427","435752","478113","329608","287291","424874","612585","430769","252526","254486","373993","288707","311831","311885","311056","312121","316816","326656","322700"
"20203","A","골목상권","3111012","석촌역 6번","1295158","585520","709638","209474","181733","249020","220260","183816","250857","389606","267289","136804","133256","192135","176066","187016","184247","182295","183140","183611","185149","189701"
"20203","A","골목상권","3111011","잠실나루역","67805","31573","36231","14262","7772","9849","11723","8838","15361","16450","14320","7583","7623","12058","9771","10001","10255","10149","10154","10172","8777","8295"
"20203","A","골목상권","3111010","석촌역 7번","2263348","1041829","1221519","279725","391996","531337","349402","284650","426238","638211","466143","250155","242697","358200","307942","319965","320766","321470","322172","321189","324682","333103"
"20203","A","골목상권","3111009","송파책박물관","266004","121973","144030","39576","37935","55445","42551","37915","52583","73362","55079","30225","29898","42834","34604","37474","36966","37266","37152","36796","39409","40942"
"20203","A","골목상권","3111008","석촌고분역 3번","721117","328152","392965","104713","104609","159070","114517","98080","140130","224048","156804","75229","71627","99917","93493","102947","101076","101997","101386","100964","104215","108535"
"20203","A","골목상권","3111007","석촌고분역 4번","1092960","498235","594724","181076","158670","223668","186470","147007","196069","362550","233045","106420","97115","143720","150110","156221","155128","156299","156073","154887","154849","159505"
"20203","A","골목상권","3111006","석촌고분역 1번","2581328","1160426","1420901","429400","380649","512077","418565","335830","504808","728584","531581","283738","279065","412183","346178","367053","366791","368984","368948","365660","370750","373143"
"20203","A","골목상권","3111005","삼전역 3번","1315715","605253","710463","195363","193025","277988","216956","184966","247418","434847","282005","125773","113851","176583","182657","189523","185186","185488","185566","182959","189779","197215"
"20203","A","골목상권","3111004","삼전역 1번","2281829","1052087","1229742","341537","362016","460092","376630","298773","442783","648031","474008","248393","242386","359443","309569","327587","325469","325384","324252","323251","328526","327361"
"20203","A","골목상권","3111003","삼전역 4번","1979235","906686","1072550","312296","307010","395663","304598","259619","400048","591317","421059","210726","202213","291682","262239","282853","277052","280306","278073","277103","286183","297665"
"20203","A","골목상권","3111002","한국교통안전공단 강남자동차검사소","5652","2988","2664","1008","488","952","1000","900","1304","860","1216","920","984","1116","556","800","804","784","812","812","840","800"
"20203","A","골목상권","3111001","아래방죽마을공원(율현초등학교)","63451","30573","32879","11252","6548","10977","10952","8325","15397","9018","13682","9875","11041","13290","6544","8923","8894","8905","8945","8923","9650","9209"
"20203","A","골목상권","3111000","대왕초등학교(세곡동사거리서남측)","53712","26084","27628","13800","4643","6273","8206","6713","14078","4732","9559","10040","11446","13298","4637","7756","7744","7793","7814","7963","7620","7022"
"20203","A","골목상권","3110999","윗방죽마을공원","172554","79499","93055","27145","28480","39266","31153","19188","27321","47257","35034","19009","19570","27937","23746","24232","24342","24317","24549","24252","25458","25404"
"20203","A","골목상권","3110998","은곡마을(은곡마을공원)","106023","47996","58028","29731","10431","16428","16842","12895","19697","24090","22831","14197","14500","17910","12495","15360","15278","15197","15259","15109","14852","14972"
"20203","A","골목상권","3110997","대청초등학교","2703600","1261938","1441661","385160","350730","387876","411537","434474","733821","880689","581324","271447","247603","349877","372661","388384","393740","389328","393554","390344","375964","372285"
"20203","A","골목상권","3110996","대치2동주민센터","681219","363073","318146","240327","70303","70581","136609","87211","76186","150252","132933","89203","95843","129003","83985","98451","100134","98479","98965","98189","96098","90903"
"20203","A","골목상권","3110995","봉은사역 4번","673898","315610","358288","134136","79500","112801","122711","95540","129209","179587","150220","79186","76303","101955","86647","96069","96261","96071","95830","95644","96073","97949"
"20203","A","골목상권","3110994","개포고등학교","632352","296210","336143","115750","70168","81915","103133","98455","162931","197598","135466","69971","66021","84525","78771","90511","91608","91472","92254","90963","89250","86294"
"20203","A","골목상권","3110993","개포지하차도 북측","4731","2030","2699","869","490","813","779","640","1140","1114","1054","685","611","728","537","710","701","710","707","682","625","595"
"20203","A","골목상권","3110992","도곡초등학교","1902657","904474","998180","623165","229605","224374","353634","236321","235557","497952","368930","215156","227372","343606","249640","263816","264777","263983","264991","264722","291017","289351"
"20203","A","골목상권","3110991","삼성중앙역 5번","197466","97310","100156","13338","40650","53163","42035","24200","24079","23309","39133","39480","40004","40009","15531","28651","29916","29610","30837","30783","25162","22507"
"20203","A","골목상권","3110990","청담역 12번","42391","21019","21371","3616","6080","9411","8170","6246","8866","4090","8652","7739","8032","9675","4202","6340","6590","6504","6527","6529","5286","4613"
"20203","A","골목상권","3110989","대치동아우편취급국","685122","341489","343634","113626","114016","144078","140603","89852","82947","143381","137300","106150","104432","122184","71674","102962","104989","102844","105326","103102","84881","81018"
"20203","A","골목상권","3110988","청담역 3번","178494","86068","92426","24148","23668","32468","31967","25408","40835","34113","40201","26587","26387","31329","19877","25368","25926","25321","25467","25763","25541","25108"
